"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius"
"root1",1,"T2",4.4622763777432e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,3.91013732964422e-08,0.181628746789987
"root1",1,"T3",3.16730565193778e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,2.7753995977942e-08,0.181628746789987
"root1",1,"T1",4.59768247035884e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,4.02878897122306e-08,0.181628746789987
"root1",1,"T2",5.51509743753593e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,4.83268774536123e-08,0.181628746789987
"root1",1,"T3",3.54329046031167e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,3.10486198652804e-08,0.181628746789987
"root1",1,"T1",5.72790997261714e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,5.01916795572823e-08,0.181628746789987
"root1",1,"T2",6.26037009413999e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,5.48574420996875e-08,0.181628746789987
"root1",1,"T3",3.746444629418e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,3.28287890727675e-08,0.181628746789987
"root1",1,"T1",6.54603661367242e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,5.73606382876794e-08,0.181628746789987
"root1",1,"T2",6.84723419026407e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,5.99999277178536e-08,0.181628746789987
"root1",1,"T3",3.87815973098069e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,3.39829626198543e-08,0.181628746789987
"root1",1,"T1",7.20349545243195e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,6.31217210412275e-08,0.181628746789987
"root1",1,"T2",7.33558099239856e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,6.42791406109918e-08,0.181628746789987
"root1",1,"T3",3.97273523333867e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,3.48116947980858e-08,0.181628746789987
"root1",1,"T1",7.76078533603942e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,6.80050581383993e-08,0.181628746789987
"root1",1,"T2",7.75615587880734e-12,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,6.796449181752e-08,0.181628746789987
"root1",1,"T3",4.04526919048545e-12,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,3.54472845946323e-08,0.181628746789987
"root1",1,"T1",8.24890153891672e-12,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,7.22822503705846e-08,0.181628746789987
"root1",1,"T2",8.12704831652610e-12,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,7.12144930349264e-08,0.181628746789987
"root1",1,"T3",4.10351498390809e-12,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,3.59576721902832e-08,0.181628746789987
"root1",1,"T1",8.68607835809104e-12,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,7.611307853003e-08,0.181628746789987
"root1",1,"T2",8.45986917033126e-12,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,7.41308862261652e-08,0.181628746789987
"root1",1,"T3",4.15188941540074e-12,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,3.63815604804016e-08,0.181628746789987
"root1",1,"T1",9.08403097664341e-12,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,7.96001986846499e-08,0.181628746789987
"root1",1,"T2",8.76253640413336e-12,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,7.67830537504642e-08,0.181628746789987
"root1",1,"T3",4.19310579574203e-12,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,3.67427252620568e-08,0.181628746789987
"root1",1,"T1",9.45076111740707e-12,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,8.28137271439312e-08,0.181628746789987
"root1",1,"T2",9.04069744321059e-12,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,7.92204820280435e-08,0.181628746789987
"root1",1,"T3",4.22893010169377e-12,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,3.70566411743683e-08,0.181628746789987
"root1",1,"T1",9.79198677351129e-12,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,8.5803768689588e-08,0.181628746789987
"root1",10,"T2",5.86487598661055e-12,1.4469218745936e-10,1.15740740740741e-07,0.11376397347013,5.15530163699006e-08,0.181060987235464
