"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",1,"T2",3.37835865281261e-05,0.0208317829117071,1e-04,0.114120707319229,3.91013732964422e-08,0.181628746789987,4.4622763777432e-09
"root1",1,"T3",2.39794525249419e-05,0.0208317829117071,1e-04,0.114120707319229,2.7753995977942e-08,0.181628746789987,3.16730565193778e-09
"root1",1,"T1",3.48087367113672e-05,0.0208317829117071,1e-04,0.114120707319229,4.02878897122306e-08,0.181628746789987,4.59768247035884e-09
"root1",1,"T2",4.1754422119921e-05,0.0208317829117071,2e-04,0.114120707319229,4.83268774536123e-08,0.181628746789987,5.51509743753593e-09
"root1",1,"T3",2.68260075636023e-05,0.0208317829117071,2e-04,0.114120707319229,3.10486198652804e-08,0.181628746789987,3.54329046031167e-09
"root1",1,"T1",4.33656111374919e-05,0.0208317829117071,2e-04,0.114120707319229,5.01916795572823e-08,0.181628746789987,5.72790997261714e-09
"root1",1,"T2",4.739682997413e-05,0.0208317829117071,3e-04,0.114120707319229,5.48574420996875e-08,0.181628746789987,6.26037009413999e-09
"root1",1,"T3",2.83640737588711e-05,0.0208317829117071,3e-04,0.114120707319229,3.28287890727675e-08,0.181628746789987,3.746444629418e-09
"root1",1,"T1",4.9559591480555e-05,0.0208317829117071,3e-04,0.114120707319229,5.73606382876794e-08,0.181628746789987,6.54603661367242e-09
"root1",1,"T2",5.18399375482255e-05,0.0208317829117071,4e-04,0.114120707319229,5.99999277178536e-08,0.181628746789987,6.84723419026407e-09
"root1",1,"T3",2.93612797035541e-05,0.0208317829117071,4e-04,0.114120707319229,3.39829626198543e-08,0.181628746789987,3.87815973098069e-09
"root1",1,"T1",5.45371669796206e-05,0.0208317829117071,4e-04,0.114120707319229,6.31217210412275e-08,0.181628746789987,7.20349545243195e-09
"root1",1,"T2",5.55371774878969e-05,0.0208317829117071,5e-04,0.114120707319229,6.42791406109918e-08,0.181628746789987,7.33558099239856e-09
"root1",1,"T3",3.00773043055461e-05,0.0208317829117071,5e-04,0.114120707319229,3.48116947980858e-08,0.181628746789987,3.97273523333867e-09
"root1",1,"T1",5.8756370231577e-05,0.0208317829117071,5e-04,0.114120707319229,6.80050581383993e-08,0.181628746789987,7.76078533603942e-09
"root1",1,"T2",5.87213209303373e-05,0.0208317829117071,6e-04,0.114120707319229,6.796449181752e-08,0.181628746789987,7.75615587880734e-09
"root1",1,"T3",3.06264538897623e-05,0.0208317829117071,6e-04,0.114120707319229,3.54472845946323e-08,0.181628746789987,4.04526919048545e-09
"root1",1,"T1",6.24518643201851e-05,0.0208317829117071,6e-04,0.114120707319229,7.22822503705846e-08,0.181628746789987,8.24890153891672e-09
"root1",1,"T2",6.15293219821764e-05,0.0208317829117071,7e-04,0.114120707319229,7.12144930349264e-08,0.181628746789987,8.1270483165261e-09
"root1",1,"T3",3.10674287724047e-05,0.0208317829117071,7e-04,0.114120707319229,3.59576721902832e-08,0.181628746789987,4.10351498390809e-09
"root1",1,"T1",6.57616998499459e-05,0.0208317829117071,7e-04,0.114120707319229,7.611307853003e-08,0.181628746789987,8.68607835809104e-09
"root1",1,"T2",6.40490856994067e-05,0.0208317829117071,8e-04,0.114120707319229,7.41308862261652e-08,0.181628746789987,8.45986917033126e-09
"root1",1,"T3",3.1433668255067e-05,0.0208317829117071,8e-04,0.114120707319229,3.63815604804016e-08,0.181628746789987,4.15188941540074e-09
"root1",1,"T1",6.87745716635375e-05,0.0208317829117071,8e-04,0.114120707319229,7.96001986846499e-08,0.181628746789987,9.08403097664341e-09
"root1",1,"T2",6.63405584404011e-05,0.0208317829117071,9e-04,0.114120707319229,7.67830537504642e-08,0.181628746789987,8.76253640413336e-09
"root1",1,"T3",3.17457146264171e-05,0.0208317829117071,9e-04,0.114120707319229,3.67427252620568e-08,0.181628746789987,4.19310579574203e-09
"root1",1,"T1",7.15510602523566e-05,0.0208317829117071,9e-04,0.114120707319229,8.28137271439312e-08,0.181628746789987,9.45076111740707e-09
