"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
37,38,0,0.1454,0.1035,-4.9008,0.1469,0.0954,-4.9717,0.0717,0.0713769570659887,0.4314,0.3922,0.1961,2.8841,1,"Tomato_60_8"
38,39,0,0.1469,0.0954,-4.9717,0.1475,0.072,-5.1704,0.0717,0.200074011305816,0.4314,0.3922,0.1961,3.0054,1,"Tomato_60_8"
39,40,0,0.1475,0.072,-5.1704,0.1489,0.0673,-5.2061,0.0717,0.0360352605096733,0.4314,0.3922,0.1961,3.0273,1,"Tomato_60_8"
40,41,0,0.1489,0.0673,-5.2061,0.152,0.0451,-5.3446,0.0717,0.140302173896201,0.4314,0.3922,0.1961,3.1128,1,"Tomato_60_8"
41,42,0,0.152,0.0451,-5.3446,0.148,0.0697,-5.5431,0.0717,0.200058516439566,0.4314,0.3922,0.1961,3.2351,1,"Tomato_60_8"
42,43,0,0.148,0.0697,-5.5431,0.1574,0.074,-5.6389,0.0717,0.0963560584498968,0.4314,0.3922,0.1961,3.2942,1,"Tomato_60_8"
43,44,0,0.1574,0.074,-5.6389,0.1712,0.0876,-5.838,0.0717,0.200040520895143,0.4314,0.3922,0.1961,3.4172,1,"Tomato_60_8"
44,45,0,0.1712,0.0876,-5.838,0.1714,0.0914,-5.8753,0.0717,0.0374935994537736,0.4314,0.3922,0.1961,3.4403,1,"Tomato_60_8"
45,46,0,0.1714,0.0914,-5.8753,0.1865,0.1003,-6.0745,0.0717,0.199969647696844,0.4314,0.3922,0.1961,3.5639,1,"Tomato_60_8"
46,47,0,0.1865,0.1003,-6.0745,0.1894,0.1023,-6.131,0.0717,0.0566097164804778,0.4314,0.3922,0.1961,3.5989,1,"Tomato_60_8"
47,48,0,0.1894,0.1023,-6.131,0.2001,0.109,-6.3215,0.0717,0.190917861919727,0.4314,0.3922,0.1961,3.7176,1,"Tomato_60_8"
48,49,0,0.2001,0.109,-6.3215,0.2045,0.1067,-6.5215,0.0717,0.200061615508822,0.4314,0.3922,0.1961,3.8424,1,"Tomato_60_8"
49,50,0,0.2045,0.1067,-6.5215,0.2059,0.106,-6.5757,0.0717,0.0542225967655559,0.4314,0.3922,0.1961,3.8763,1,"Tomato_60_8"
50,51,0,0.2059,0.106,-6.5757,0.1971,0.0977,-6.7629,0.0717,0.187590431525704,0.4314,0.3922,0.1961,3.994,1,"Tomato_60_8"
