"tpot","Krs","Krs_exact","RSHA_id","RSA_id","age"
10.9299000789255,0.000743530617613981,0.000753980732857039,"Tomato_60_1_10_1B","Tomato_60_1",10
10.5285455534303,0.000716227588668728,0.000724633414401158,"Tomato_60_10_10_1B","Tomato_60_10",10
10.6935614914869,0.000727453162686181,0.000736932196059843,"Tomato_60_2_10_1B","Tomato_60_2",10
9.29014513318296,0.000631982662121289,0.000636561364425461,"Tomato_60_3_10_1B","Tomato_60_3",10
10.1856715457063,0.000692902826238523,0.00070068135908036,"Tomato_60_4_10_1B","Tomato_60_4",10
10.2536893830175,0.000697529890001194,0.000705212289330161,"Tomato_60_5_10_1B","Tomato_60_5",10
11.7768353730174,0.000801145263470569,0.000814829068331845,"Tomato_60_6_10_1B","Tomato_60_6",10
11.1938438853729,0.000761485978596794,0.00075794235077092,"Tomato_60_7_10_1B","Tomato_60_7",10
9.56714708996985,0.00065082633265101,0.000656156649453594,"Tomato_60_8_10_1B","Tomato_60_8",10
11.7078713891778,0.000796453835998493,0.000809838086297772,"Tomato_60_9_10_1B","Tomato_60_9",10
208.57588783452,0.0141888359071102,0.00424094464540534,"Tomato_60_1_20_1B","Tomato_60_1",20
225.492214643613,0.015339606438341,0.00424177145039618,"Tomato_60_10_20_1B","Tomato_60_10",20
108.631978250584,0.00738993049323703,0.0041064096845795,"Tomato_60_2_20_1B","Tomato_60_2",20
188.930438682878,0.0128524107947536,0.00423054910046623,"Tomato_60_3_20_1B","Tomato_60_3",20
177.051639504005,0.0120443292179596,0.00423624919310605,"Tomato_60_4_20_1B","Tomato_60_4",20
241.668959926693,0.0164400653011356,0.00424091773188326,"Tomato_60_5_20_1B","Tomato_60_5",20
192.746256671287,0.0131119902497474,0.00424078235520961,"Tomato_60_6_20_1B","Tomato_60_6",20
306.156756469765,0.0208269902360384,0.00423773189866785,"Tomato_60_7_20_1B","Tomato_60_7",20
43.4821269259326,0.00295796781809065,0.00276374897573609,"Tomato_60_8_20_1B","Tomato_60_8",20
212.489489863672,0.0144550673376648,0.00424624297997169,"Tomato_60_9_20_1B","Tomato_60_9",20
756.873523955547,0.051487994826908,0.0273105569147805,"Tomato_60_1_30_1B","Tomato_60_1",30
797.977523613771,0.0542841852798484,0.027316808407677,"Tomato_60_10_30_1B","Tomato_60_10",30
614.28657817641,0.0417882025970347,0.0270941018509401,"Tomato_60_2_30_1B","Tomato_60_2",30
682.884161601418,0.0464547048708447,0.027072257553681,"Tomato_60_3_30_1B","Tomato_60_3",30
689.547306685792,0.0469079800466525,0.0272143127472322,"Tomato_60_4_30_1B","Tomato_60_4",30
813.960942707362,0.0553714927011811,0.0273135203009815,"Tomato_60_5_30_1B","Tomato_60_5",30
789.158655111731,0.0536842622524987,0.0273886529624485,"Tomato_60_6_30_1B","Tomato_60_6",30
960.934540901381,0.0653696966599579,0.0273076581431833,"Tomato_60_7_30_1B","Tomato_60_7",30
440.409002946444,0.0299597961188057,0.0255438405795571,"Tomato_60_8_30_1B","Tomato_60_8",30
791.826904041954,0.0538657757851669,0.0273799316069311,"Tomato_60_9_30_1B","Tomato_60_9",30
1560.68444949756,0.106169010169902,1.84848686404768e-09,"Tomato_60_1_40_1B","Tomato_60_1",40
1633.2807978811,0.111107537270823,1.93575522778916e-09,"Tomato_60_10_40_1B","Tomato_60_10",40
1337.53851951654,0.0909890149330979,1.62850922815342e-09,"Tomato_60_2_40_1B","Tomato_60_2",40
1396.70938283861,0.0950142437305179,1.64588371351467e-09,"Tomato_60_3_40_1B","Tomato_60_3",40
1454.49504618131,0.0989452412368238,1.73181422513062e-09,"Tomato_60_4_40_1B","Tomato_60_4",40
1649.55556361419,0.112214664191442,1.93668422228594e-09,"Tomato_60_5_40_1B","Tomato_60_5",40
1624.55602725831,0.110514015459749,1.97446850699771e-09,"Tomato_60_6_40_1B","Tomato_60_6",40
1840.76574572533,0.125222159573151,2.09032790222441e-09,"Tomato_60_7_40_1B","Tomato_60_7",40
1053.27143677039,0.0716511181476455,1.26844764324837e-09,"Tomato_60_8_40_1B","Tomato_60_8",40
1613.30894673525,0.109748907941173,1.9327358525229e-09,"Tomato_60_9_40_1B","Tomato_60_9",40
2245.25249303481,0.1527382648323,2.70019323219263e-09,"Tomato_60_1_50_1B","Tomato_60_1",50
2289.13647509732,0.155723569734511,2.75879344580511e-09,"Tomato_60_10_50_1B","Tomato_60_10",50
2084.77853967716,0.141821669365793,2.47706218722517e-09,"Tomato_60_2_50_1B","Tomato_60_2",50
2024.68504359595,0.137733676435099,2.40546683686804e-09,"Tomato_60_3_50_1B","Tomato_60_3",50
2137.12461602869,0.145382626940727,2.54641762695616e-09,"Tomato_60_4_50_1B","Tomato_60_4",50
2301.95157111379,0.156595344973727,2.77406239840268e-09,"Tomato_60_5_50_1B","Tomato_60_5",50
2343.70127263401,0.159435460723402,2.83116354094942e-09,"Tomato_60_6_50_1B","Tomato_60_6",50
2342.84149126009,0.159376972194564,2.87229840623929e-09,"Tomato_60_7_50_1B","Tomato_60_7",50
1762.01590719858,0.119865027700584,2.05594996267968e-09,"Tomato_60_8_50_1B","Tomato_60_8",50
2326.38547910805,0.158257515585581,2.81921673582261e-09,"Tomato_60_9_50_1B","Tomato_60_9",50
2389.77250137847,0.162569557916903,3.47394878118946e-09,"Tomato_60_1_60_1B","Tomato_60_1",60
2363.26639435991,0.160766421385028,3.47597502334038e-09,"Tomato_60_10_60_1B","Tomato_60_10",60
