"Krs","RSHA_id","Scenario"
4.95292947661476e-09,"Tomato_30_1","S1"
5.31564805381347e-09,"Tomato_30_10","S1"
5.53363213447234e-09,"Tomato_30_2","S1"
5.05865439990931e-09,"Tomato_30_3","S1"
5.18282687444606e-09,"Tomato_30_4","S1"
5.84528409484514e-09,"Tomato_30_5","S1"
4.8072530583712e-09,"Tomato_30_6","S1"
5.04487674207664e-09,"Tomato_30_7","S1"
5.04352762691575e-09,"Tomato_30_8","S1"
4.73744960493979e-09,"Tomato_30_9","S1"
5.55456856347419e-09,"Tomato_30_1","S2"
5.95613497381977e-09,"Tomato_30_10","S2"
6.19654892712156e-09,"Tomato_30_2","S2"
5.67545672504292e-09,"Tomato_30_3","S2"
5.80863354168748e-09,"Tomato_30_4","S2"
6.54592107555578e-09,"Tomato_30_5","S2"
5.39400786864332e-09,"Tomato_30_6","S2"
5.65740625722148e-09,"Tomato_30_7","S2"
5.65311198926311e-09,"Tomato_30_8","S2"
5.31213926915032e-09,"Tomato_30_9","S2"
2.71451669123618e-10,"Tomato_30_1","S3"
2.79807509950809e-10,"Tomato_30_10","S3"
2.8179892331956e-10,"Tomato_30_2","S3"
2.72563002208226e-10,"Tomato_30_3","S3"
2.76367131812354e-10,"Tomato_30_4","S3"
2.94551741834283e-10,"Tomato_30_5","S3"
2.69515226435311e-10,"Tomato_30_6","S3"
2.75418631107787e-10,"Tomato_30_7","S3"
2.72272900102953e-10,"Tomato_30_8","S3"
2.67134750406044e-10,"Tomato_30_9","S3"
