"CS_id","param_id","value"
"B05_A_To_C03_Z20_01","xylem_n_files",2
"B05_A_To_C03_Z20_01","xylem_n_cells",4
"B05_A_To_C03_Z20_01","xylem_max_size",0.0177027552122218
"B05_A_To_C03_Z20_01","xylem_cell_diameter",0.0146512441879742
"B05_A_To_C03_Z20_01","xylem_order",1.5
"B05_A_To_C03_Z20_01","stele_cell_diameter",0.00749435256159022
"B05_A_To_C03_Z20_01","stele_SD",0.00101202505145012
"B05_A_To_C03_Z20_01","phloem_cell_diameter",0.0108494285714286
"B05_A_To_C03_Z20_01","phloem_order",1.5
"B05_A_To_C03_Z20_01","stele_order",1
"B05_A_To_C03_Z20_01","cortex_cell_diameter",0.0236728333333333
"B05_A_To_C03_Z20_01","cortex_order",4
"B05_A_To_C03_Z20_01","endodermis_cell_diameter",0.0169963076923077
"B05_A_To_C03_Z20_01","endodermis_n_layers",1
"B05_A_To_C03_Z20_01","endodermis_order",3
"B05_A_To_C03_Z20_01","exodermis_cell_diameter",0.02555
"B05_A_To_C03_Z20_01","exodermis_n_layers",1
"B05_A_To_C03_Z20_01","exodermis_order",5
"B05_A_To_C03_Z20_01","epidermis_cell_diameter",0.017413
"B05_A_To_C03_Z20_01","epidermis_n_layers",1
"B05_A_To_C03_Z20_01","epidermis_order",6
"B05_A_To_C03_Z20_01","pericycle_cell_diameter",0.0154034666666667
"B05_A_To_C03_Z20_01","pericycle_order",2
"B05_A_To_C03_Z20_01","pericycle_n_layers",1
"B05_A_To_C03_Z20_01","stele_n_layers",5
"B05_A_To_C03_Z20_01","stele_layer_diameter",0.12576
"B05_A_To_C03_Z20_01","cortex_n_layers",3
"B05_A_To_C03_Z20_01","phloem_n_layers",0
"B05_A_To_C03_Z20_01","phloem_proportion",0
"B05_B_To_C01_Z20_01","secondarygrowth_param",0
"B05_B_To_C01_Z20_01","randomness_param",2
"B05_B_To_C01_Z20_01","planttype_param",2
"B05_B_To_C01_Z20_01","aerenchyma_proportion",0
"B05_B_To_C01_Z20_01","aerenchyma_n_files",10
"B05_B_To_C01_Z20_01","xylem_n_files",2
"B05_B_To_C01_Z20_01","xylem_n_cells",6
"B05_B_To_C01_Z20_01","xylem_max_size",0.023994260660865
