"Name","Barrier","Kr","Kx","perimeter"
"P11_D_To_C01_Z20_01","b0",0.000174432868891697,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b1",0.000101725481081063,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b2",4.79014192110662e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b3",4.79014192110662e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b4",4.47841901251407e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b5",8.86106884322827e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b6",6.84636742374239e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b7",0.00014388027203175,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b8",3.89897392137457e-05,0.314607105214267,0.114461214490737
"P11_D_To_C01_Z20_01","b9",7.32972119914078e-05,0.314607105214267,0.114461214490737
