"Name","Barrier","Kr","Kx","perimeter"
"P12_C_To_C01_Z20_07","b0",3.9723493372359e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b1",7.73045545724501e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b2",3.83173051842799e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b3",3.83173051842799e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b4",3.61703907270657e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b5",6.90331258531862e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b6",5.60479219018398e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b7",0.000105061407068211,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b8",3.22558829791824e-05,0.0416858503380379,0.120573418165
"P12_C_To_C01_Z20_07","b9",5.92795033267803e-05,0.0416858503380379,0.120573418165
