"Name","Barrier","Kr","Kx","perimeter"
"P04_D_FY_C02_Z20_01","b0",0.000117389965900335,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b1",7.38740000415522e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b2",3.98737724408057e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b3",3.98737724408057e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b4",3.84164978987674e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b5",6.89864167986353e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b6",5.68490896438337e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b7",9.24903827867855e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b8",3.43480383924088e-05,0.0424681375473796,0.134473143953438
"P04_D_FY_C02_Z20_01","b9",5.9855906550003e-05,0.0424681375473796,0.134473143953438
