"Name","Barrier","Kr","Kx","perimeter"
"B05_C_To_C01_Z20_01","b0",7.14622737319728e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b1",9.03980722204668e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b2",4.35299095810128e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b3",4.35299095810128e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b4",4.09042242202652e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b5",7.9748133407142e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b6",6.29583992190287e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b7",0.000126156068453697,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b8",3.59866447133387e-05,0.0281766944704821,0.108372866518639
"B05_C_To_C01_Z20_01","b9",6.70879640050825e-05,0.0281766944704821,0.108372866518639
