"Name","Barrier","Kr","Kx","perimeter"
"P11_A_To_C02_Z20_01","b0",5.26218520274043e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b1",7.31109828959456e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b2",3.805397008792e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b3",3.805397008792e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b4",3.60970277393445e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b5",6.62095914404671e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b6",5.44346931680237e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b7",9.48055999661482e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b8",3.22904814528338e-05,0.0202245718948315,0.137985541416282
"P11_A_To_C02_Z20_01","b9",5.72697827991932e-05,0.0202245718948315,0.137985541416282
