"Name","Barrier","Kr","Kx","perimeter"
"P12_E_To_C01_Z20_02","b0",0.000156994957635464,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b1",8.19578673945477e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b2",4.86256659912563e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b3",4.86256659912563e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b4",4.6297434594314e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b5",7.54797839915981e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b6",6.12626438143433e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b7",9.41601069368522e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b8",4.05683944952598e-05,1.64784023002251,0.181786023905563
"P12_E_To_C01_Z20_02","b9",6.46458865709199e-05,1.64784023002251,0.181786023905563
