"Name","Barrier","Kr","Kx","perimeter"
"B11_F_To_C02_Z10_01","b0",0.000159482807639531,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b1",6.91376497782333e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b2",4.484800868599e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b3",4.484800868599e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b4",4.29488866068828e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b5",6.46960819353505e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b6",5.40805521886717e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b7",7.69049348686938e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b8",3.80163582441085e-05,0.761213592479844,0.200521232052206
"B11_F_To_C02_Z10_01","b9",5.65856197117764e-05,0.761213592479844,0.200521232052206
