"planttype","age","rep","RSA_id"
"Tomato",30,1,"Tomato_30_1"
"Tomato",30,2,"Tomato_30_2"
"Tomato",30,3,"Tomato_30_3"
"Tomato",30,4,"Tomato_30_4"
"Tomato",30,5,"Tomato_30_5"
"Tomato",30,6,"Tomato_30_6"
"Tomato",30,7,"Tomato_30_7"
"Tomato",30,8,"Tomato_30_8"
"Tomato",30,9,"Tomato_30_9"
"Tomato",30,10,"Tomato_30_10"
