"Root","X","Barrier","Kr","Kx","perimeter"
"root7",13,"b0",0.000174331811430408,0.0634194130587754,0.137183154607023
"root7",13,"b1",8.07241574895995e-05,0.0634194130587754,0.137183154607023
"root7",13,"b2",4.41867258212894e-05,0.0634194130587754,0.137183154607023
"root7",13,"b3",4.41867258212894e-05,0.0634194130587754,0.137183154607023
"root7",13,"b4",4.20987804491272e-05,0.0634194130587754,0.137183154607023
"root7",13,"b5",7.40117835767756e-05,0.0634194130587754,0.137183154607023
"root7",13,"b6",5.98719646936829e-05,0.0634194130587754,0.137183154607023
"root7",13,"b7",0.000105968633554848,0.0634194130587754,0.137183154607023
"root7",13,"b8",3.71161030172602e-05,0.0634194130587754,0.137183154607023
"root7",13,"b9",6.33981807126557e-05,6.33981807126557e-05,0.137183154607023
