"Root","X","Barrier","Kr","Kx","perimeter"
"root6",19,"b0",0.000180761428122116,0.562336846044108,0.132248939387939
"root6",19,"b1",0.00010042968937692,0.562336846044108,0.132248939387939
"root6",19,"b2",5.01713833336249e-05,0.562336846044108,0.132248939387939
"root6",19,"b3",5.01713833336249e-05,0.562336846044108,0.132248939387939
"root6",19,"b4",4.76148840288483e-05,0.562336846044108,0.132248939387939
"root6",19,"b5",9.05717821102937e-05,0.562336846044108,0.132248939387939
"root6",19,"b6",7.02708613908071e-05,0.562336846044108,0.132248939387939
"root6",19,"b7",0.000136956420981444,0.562336846044108,0.132248939387939
"root6",19,"b8",4.1378140511783e-05,0.562336846044108,0.132248939387939
"root6",19,"b9",7.49637127975844e-05,7.49637127975844e-05,0.132248939387939
