"Root","X","Barrier","Kr","Kx","perimeter"
"root17",26,"b0",0.000171784752707455,2.5320506451667,0.207967260615416
"root17",26,"b1",7.94985030644655e-05,2.5320506451667,0.207967260615416
"root17",26,"b2",5.00339408335964e-05,2.5320506451667,0.207967260615416
"root17",26,"b3",5.00339408335964e-05,2.5320506451667,0.207967260615416
"root17",26,"b4",4.75462921344293e-05,2.5320506451667,0.207967260615416
"root17",26,"b5",7.33548265121159e-05,2.5320506451667,0.207967260615416
"root17",26,"b6",5.99004334347664e-05,2.5320506451667,0.207967260615416
"root17",26,"b7",8.76882235759581e-05,2.5320506451667,0.207967260615416
"root17",26,"b8",4.15293953252071e-05,2.5320506451667,0.207967260615416
"root17",26,"b9",6.3192657805228e-05,6.3192657805228e-05,0.207967260615416
