"Root","X","Barrier","Kr","Kx","perimeter"
"root3",7,"b0",5.43038820460694e-05,0.104070005234547,0.127002876178934
"root3",7,"b1",7.49066513686461e-05,0.104070005234547,0.127002876178934
"root3",7,"b2",3.79641954330188e-05,0.104070005234547,0.127002876178934
"root3",7,"b3",3.79641954330188e-05,0.104070005234547,0.127002876178934
"root3",7,"b4",3.60510910728334e-05,0.104070005234547,0.127002876178934
"root3",7,"b5",6.78048698369005e-05,0.104070005234547,0.127002876178934
"root3",7,"b6",5.54534814025607e-05,0.104070005234547,0.127002876178934
"root3",7,"b7",9.71888983995316e-05,0.104070005234547,0.127002876178934
"root3",7,"b8",3.22344612001248e-05,0.104070005234547,0.127002876178934
"root3",7,"b9",5.86318829475139e-05,5.86318829475139e-05,0.127002876178934
