"Root","X","Barrier","Kr","Kx","perimeter"
"root10",17,"b0",0.000172249879319156,0.128679403457027,0.130064844417037
"root10",17,"b1",8.53711508066102e-05,0.128679403457027,0.130064844417037
"root10",17,"b2",4.67976891196448e-05,0.128679403457027,0.130064844417037
"root10",17,"b3",4.67976891196448e-05,0.128679403457027,0.130064844417037
"root10",17,"b4",4.44178273481305e-05,0.128679403457027,0.130064844417037
"root10",17,"b5",7.76906361996216e-05,0.128679403457027,0.130064844417037
"root10",17,"b6",6.21760660246697e-05,0.128679403457027,0.130064844417037
"root10",17,"b7",0.000104836008129194,0.128679403457027,0.130064844417037
"root10",17,"b8",3.89050470279842e-05,0.128679403457027,0.130064844417037
"root10",17,"b9",6.59241943448867e-05,6.59241943448867e-05,0.130064844417037
