"Root","X","Barrier","Kr","Kx","perimeter"
"root2",2,"b0",3.67981787472592e-05,0.00895881937751502,0.143932671854163
"root2",2,"b1",6.04613482452169e-05,0.00895881937751502,0.143932671854163
"root2",2,"b2",3.1613478191775e-05,0.00895881937751502,0.143932671854163
"root2",2,"b3",3.1613478191775e-05,0.00895881937751502,0.143932671854163
"root2",2,"b4",3.04600670741473e-05,0.00895881937751502,0.143932671854163
"root2",2,"b5",5.63776181223259e-05,0.00895881937751502,0.143932671854163
"root2",2,"b6",4.78493083407097e-05,0.00895881937751502,0.143932671854163
"root2",2,"b7",8.15599150162237e-05,0.00895881937751502,0.143932671854163
"root2",2,"b8",2.77848651567927e-05,0.00895881937751502,0.143932671854163
"root2",2,"b9",4.99995594238619e-05,4.99995594238619e-05,0.143932671854163
