(210.5375, 201.988) 
(213.07999999999998, 205.071) 
(210.2705, 207.8355) 
(205.6455, 207.3295) 
(205.90550000000002, 202.739) 
(202.22050000000002, 206.1125) 
(207.53650000000002, 210.63099999999997) 
(206.0025, 213.41649999999998) 
(203.465, 214.7935) 
(201.574, 210.791) 
(198.05700000000002, 207.76950000000002) 
(200.8615, 215.311) 
(198.2845, 215.3975) 
(196.436, 211.73800000000003) 
(193.18400000000003, 208.65500000000003) 
(195.10500000000002, 215.6615) 
(191.38850000000002, 215.435) 
(190.40750000000003, 211.5365) 
(188.4235, 207.65) 
(188.50900000000001, 215.177) 
(184.973, 214.05949999999999) 
(182.85, 212.01999999999998) 
(184.402, 209.25099999999998) 
(180.2145, 204.9685) 
(184.565, 205.19850000000002) 
(180.45549999999997, 211.13599999999997) 
(177.678, 208.27499999999998) 
(182.053, 201.097) 
(175.6705, 205.51049999999998) 
(177.50900000000001, 201.639) 
(176.877, 183.945) 
(181.06850000000003, 184.1535) 
(182.357, 188.135) 
(178.1655, 187.92649999999998) 
(180.4095, 178.11249999999998) 
(184.733, 179.45499999999998) 
(185.4875, 183.49099999999999) 
(178.5265, 180.834) 
(184.501, 173.579) 
(187.77800000000002, 173.7705) 
(189.8295, 177.381) 
(188.733, 180.748) 
(182.5525, 175.8965) 
(191.064, 173.2645) 
(194.623, 172.87400000000002) 
(196.3655, 176.9605) 
(193.17399999999998, 179.952) 
(197.881, 173.1275) 
(201.3395, 173.4375) 
(203.613, 175.2415) 
(201.2385, 178.298) 
(197.4495, 180.327) 
(205.6205, 177.1175) 
(206.41199999999998, 181.6585) 
(202.03, 182.839) 
(208.433, 178.13850000000002) 
(210.84300000000002, 178.981) 
(212.449, 182.62449999999998) 
(210.23700000000002, 186.45499999999998) 
(206.61, 186.3315) 
(217.0385, 203.9315) 
(220.302, 206.4805) 
(217.901, 209.61649999999997) 
(214.63049999999998, 208.3245) 
(216.0795, 210.65) 
(213.9505, 212.4395) 
(209.7675, 212.90949999999998) 
(212.044, 215.59400000000002) 
(209.21200000000002, 218.06600000000003) 
(205.333, 216.87900000000002) 
(206.223, 219.122) 
(204.061, 220.85750000000002) 
(200.3835, 221.51100000000002) 
(199.00900000000001, 218.328) 
(197.2275, 221.74200000000002) 
(194.1485, 221.9575) 
(192.7505, 218.8075) 
(191.18949999999998, 221.524) 
(187.73, 221.01) 
(186.4115, 218.0355) 
(185.168, 220.3725) 
(182.084, 218.9625) 
(181.2255, 214.72400000000002) 
(176.7015, 211.912) 
(179.48149999999998, 217.299) 
(177.66, 216.332) 
(175.62900000000002, 214.395) 
(172.2895, 205.49349999999998) 
(173.118, 212.39800000000002) 
(170.7135, 208.744) 
(173.207, 177.0085) 
(176.666, 177.4295) 
(173.399, 184.374) 
(171.58950000000002, 180.84199999999998) 
(176.948, 172.99599999999998) 
(180.98850000000002, 172.64999999999998) 
(174.76850000000002, 175.5595) 
(185.1725, 167.382) 
(186.08650000000003, 170.2815) 
(179.0705, 170.87) 
(181.669, 168.8995) 
(187.77100000000002, 167.17550000000003) 
(190.998, 167.434) 
(192.5995, 170.034) 
(194.316, 167.46949999999998) 
(197.6815, 167.339) 
(199.223, 170.157) 
(200.7075, 167.35350000000003) 
(204.53449999999998, 168.02499999999998) 
(206.9355, 169.4665) 
(205.22500000000002, 172.07549999999998) 
(209.3145, 171.111) 
(210.51500000000001, 175.298) 
(211.96, 172.63299999999998) 
(214.442, 173.974) 
(216.7925, 176.7525) 
(214.6385, 179.09449999999998) 
(217.84699999999998, 178.916) 
(218.6745, 181.96099999999998) 
(215.583, 184.70799999999997) 
(223.60899999999998, 203.27499999999998) 
(226.47650000000002, 205.93149999999997) 
(225.377, 210.4525) 
(221.82150000000001, 210.2275) 
(224.02800000000002, 212.094) 
(222.1715, 214.8565) 
(219.76, 216.9925) 
(217.5875, 213.948) 
(216.83800000000002, 218.524) 
(213.315, 218.7095) 
(214.4305, 220.56799999999998) 
(212.39950000000002, 222.536) 
(209.769, 224.04449999999997) 
(207.654, 221.711) 
(207.3295, 225.551) 
(204.42849999999999, 226.983) 
(202.63400000000001, 224.6005) 
(202.09699999999998, 227.8595) 
(198.31799999999998, 228.1905) 
(195.699, 225.16250000000002) 
(195.15949999999998, 228.07049999999998) 
(192.2155, 228.475) 
(189.5975, 227.9675) 
(189.5135, 224.744) 
(186.0235, 226.7405) 
(182.57, 225.607) 
(183.498, 222.973) 
(180.68599999999998, 225.171) 
(177.83350000000002, 223.72050000000002) 
(178.043, 219.85899999999998) 
(175.3225, 222.224) 
(173.0855, 220.6615) 
(174.083, 217.32049999999998) 
(169.967, 212.349) 
(170.814, 218.9315) 
(169.209, 215.957) 
(163.43600000000004, 207.5105) 
(166.4795, 206.3145) 
(169.88549999999998, 205.874) 
(167.1255, 213.207) 
(164.202, 210.546) 
(161.2055, 200.5775) 
(165.7625, 202.46749999999997) 
(161.9225, 204.4245) 
(164.7735, 178.736) 
(166.5025, 176.70749999999998) 
(169.54899999999998, 177.2425) 
(167.8965, 184.24849999999998) 
(164.127, 182.6775) 
(170.24699999999999, 170.58999999999997) 
(173.1825, 172.68599999999998) 
(168.17499999999998, 173.6975) 
(174.51, 166.517) 
(177.4765, 168.52499999999998) 
(172.33849999999998, 168.552) 
(176.5885, 165.1275) 
(179.7075, 163.6125) 
(183.1925, 165.0725) 
(182.609, 162.06) 
(186.55100000000002, 160.974) 
(189.733, 163.78) 
(190.005, 161.0085) 
(191.75600000000003, 160.488) 
(194.7545, 160.8145) 
(196.0515, 164.1395) 
(198.1015, 161.004) 
(201.45549999999997, 161.05749999999998) 
(202.4315, 164.20749999999998) 
(204.1135, 161.192) 
(207.53000000000003, 162.07250000000002) 
(209.69600000000003, 164.046) 
(208.3825, 166.983) 
(212.602, 165.462) 
(215.42000000000002, 167.1235) 
(213.8635, 170.232) 
