"root","x","Barrier","Kr","Kx","perimeter","Kr2","radius","conductance"
"root1",0,"M1",6.92699649046348e-05,0.00798064070274776,0.115645206459867,8.01735704914755e-08,0.184055062529706,9.27168911211138e-09
"root1",0,"M2",3.49551448809312e-05,0.00798064070274776,0.115645206459867,4.04573436121889e-08,0.184055062529706,4.67869785484937e-09
"root1",0,"M3",3.36951356339491e-05,0.00798064070274776,0.115645206459867,3.899899957633e-08,0.184055062529706,4.51004735773295e-09
"root1",11,"M1",9.71957729577167e-05,0.197457888845825,0.123792152695948,1.1249510758995e-07,0.197021330175468,1.39260115363222e-08
"root1",11,"M2",4.9667413929706e-05,0.197457888845825,0.123792152695948,5.74854327890116e-08,0.197021330175468,7.11624547360998e-09
"root1",11,"M3",4.67815673954037e-05,0.197457888845825,0.123792152695948,5.41453326335691e-08,0.197021330175468,6.70276728514768e-09
"root1",12,"M1",7.81269024479839e-05,0.0787758891639336,0.128711119757379,9.04246556110925e-08,0.204850109402798,1.16386586773791e-08
"root1",12,"M2",3.98718765853526e-05,0.0787758891639336,0.128711119757379,4.61480053071211e-08,0.204850109402798,5.93976143764902e-09
"root1",12,"M3",3.81301112236459e-05,0.0787758891639336,0.128711119757379,4.41320731755161e-08,0.204850109402798,5.68028855563526e-09
"root1",13,"M1",7.77412955551866e-05,0.138743214295343,0.131520123493333,8.99783513370215e-08,0.209320777700205,1.18339638795716e-08
"root1",13,"M2",4.07099743067173e-05,0.138743214295343,0.131520123493333,4.71180258179598e-08,0.209320777700205,6.19696857434013e-09
"root1",13,"M3",3.87434317385995e-05,0.138743214295343,0.131520123493333,4.48419348826383e-08,0.209320777700205,5.89761681344459e-09
"root1",14,"M1",8.23724247770776e-05,0.253875641148877,0.136696794236609,9.53384546030991e-08,0.21755970507572,1.30324611117161e-08
"root1",14,"M2",4.41137979002354e-05,0.253875641148877,0.136696794236609,5.10576364586058e-08,0.21755970507572,6.97941522518962e-09
"root1",14,"M3",4.21920217105763e-05,0.253875641148877,0.136696794236609,4.88333584613152e-08,0.21755970507572,6.67536355346897e-09
"root1",16,"M1",8.32867541807338e-05,0.185926299955453,0.134604173644569,9.63967062277011e-08,0.21422919596333,1.2975398983838e-08
"root1",16,"M2",4.43702489469617e-05,0.185926299955453,0.134604173644569,5.13544547997242e-08,0.21422919596333,6.91252395128425e-09
"root1",16,"M3",4.24062483742169e-05,0.185926299955453,0.134604173644569,4.9081305988677e-08,0.21422919596333,6.6065486340021e-09
"root1",17,"M1",0.000112254871063763,0.603682706980897,0.11757841903532,1.29924619286763e-07,0.187131865904014,1.52763313295034e-08
"root1",17,"M2",5.25301858487705e-05,0.603682706980897,0.11757841903532,6.07988262138547e-08,0.187131865904014,7.14862986542821e-09
"root1",17,"M3",4.95120490082392e-05,0.603682706980897,0.11757841903532,5.73056122780546e-08,0.187131865904014,6.73790329350469e-09
"root1",18,"M1",0.000104416599115906,0.572452068183201,0.12949426475399,1.20852545273039e-07,0.206096523376481,1.56497114937805e-08
"root1",18,"M2",5.2511536355277e-05,0.572452068183201,0.12949426475399,6.0777241151941e-08,0.206096523376481,7.87030415674654e-09
"root1",18,"M3",4.92302386614128e-05,0.572452068183201,0.12949426475399,5.69794428951537e-08,0.206096523376481,7.37851106379989e-09
"root1",19,"M1",9.83685805991064e-05,0.45399866472583,0.141091677159279,1.13852523841558e-07,0.224554378490251,1.60636435376223e-08
"root1",19,"M2",5.06497921067564e-05,0.45399866472583,0.141091677159279,5.86224445680051e-08,0.224554378490251,8.2711390232767e-09
"root1",19,"M3",4.80388918915699e-05,0.45399866472583,0.141091677159279,5.56005693189466e-08,0.224554378490251,7.84477757622093e-09
"root1",2,"M1",7.41801902828513e-05,0.016265106103225,0.112261118857557,8.58567017162631e-08,0.17866911983207,9.63836939608723e-09
"root1",2,"M2",3.62470553010512e-05,0.016265106103225,0.112261118857557,4.19526103021426e-08,0.17866911983207,4.7096469715136e-09
"root1",2,"M3",3.46434992160195e-05,0.016265106103225,0.112261118857557,4.00966426111337e-08,0.17866911983207,4.50129396195746e-09
"root1",22,"M1",6.60277028920661e-05,0.185862778308171,0.155006257884998,7.64209524213728e-08,0.246700121525745,1.18457258588445e-08
"root1",22,"M2",3.85149542453805e-05,0.185862778308171,0.155006257884998,4.45774933395608e-08,0.246700121525745,6.90979042845874e-09
"root1",22,"M3",3.70530786331365e-05,0.185862778308171,0.155006257884998,4.28855076772413e-08,0.246700121525745,6.64752206254753e-09
"root1",23,"M1",9.78646353516131e-05,0.714584123748387,0.142794402613454,1.13269253879182e-07,0.227264350217855,1.61742154421494e-08
"root1",23,"M2",5.24687092230515e-05,0.714584123748387,0.142794402613454,6.07276727118652e-08,0.227264350217855,8.67157174699614e-09
