"root","x","Barrier","Kr","Kx","perimeter","Kr2","radius","conductance"
"root1",0,"T2",5.34401495522482e-05,0.00798064070274776,0.115645206459867,6.18520249447317e-08,0.184055062529706,7.15289019469434e-09
"root1",0,"T3",3.04132585296443e-05,0.00798064070274776,0.115645206459867,3.52005307056068e-08,0.184055062529706,4.07077264094679e-09
"root1",0,"T1",5.63031640067736e-05,5.63031640067736e-05,0.115645206459867,6.51656990819139e-08,0.184055062529706,7.5361007244295e-09
"root1",11,"T2",6.77933181227806e-05,0.197457888845825,0.123792152695948,7.84644885680331e-08,0.197021330175468,9.71328795002342e-09
"root1",11,"T3",4.07050509468348e-05,0.197457888845825,0.123792152695948,4.71123274847625e-08,0.197021330175468,5.83213643785523e-09
"root1",11,"T1",7.21127545987382e-05,7.21127545987382e-05,0.123792152695948,8.34638363411322e-08,0.197021330175468,1.0332167972931e-08
"root1",12,"T2",5.83085476517605e-05,0.0787758891639336,0.128711119757379,6.74867449673154e-08,0.204850109402798,8.68629451352383e-09
"root1",12,"T3",3.39825475343647e-05,0.0787758891639336,0.128711119757379,3.9331652238848e-08,0.204850109402798,5.06242100156995e-09
"root1",12,"T1",6.15678082171245e-05,6.15678082171245e-05,0.128711119757379,7.12590372883385e-08,0.204850109402798,9.17183048221488e-09
"root1",13,"T2",5.78173151694283e-05,0.138743214295343,0.131520123493333,6.6918188853505e-08,0.209320777700205,8.80108846196315e-09
"root1",13,"T3",3.44900127767525e-05,0.138743214295343,0.131520123493333,3.99189962693895e-08,0.209320777700205,5.25015131908e-09
"root1",13,"T1",6.0922805984631e-05,6.0922805984631e-05,0.131520123493333,7.05125069266563e-08,0.209320777700205,9.27381361881833e-09
"root1",14,"T2",6.13564812327226e-05,0.253875641148877,0.136696794236609,7.10144458712067e-08,0.21755970507572,9.70744709508315e-09
"root1",14,"T3",3.7308598468554e-05,0.253875641148877,0.136696794236609,4.31812482274931e-08,0.21755970507572,5.90273820383355e-09
"root1",14,"T1",6.48715781538666e-05,6.48715781538666e-05,0.136696794236609,7.50828450854938e-08,0.21755970507572,1.02635842253509e-08
"root1",16,"T2",6.17074359922476e-05,0.185926299955453,0.134604173644569,7.14206435095458e-08,0.21422919596333,9.61351670076577e-09
"root1",16,"T3",3.74318733459099e-05,0.185926299955453,0.134604173644569,4.3323927483692e-08,0.21422919596333,5.8315814579796e-09
"root1",16,"T1",6.51669989904502e-05,6.51669989904502e-05,0.134604173644569,7.54247673500581e-08,0.21422919596333,1.01524884814884e-08
"root1",17,"T2",7.50761821376781e-05,0.603682706980897,0.11757841903532,8.68937293260163e-08,0.187131865904014,1.0216827318236e-08
"root1",17,"T3",4.27117437165164e-05,0.603682706980897,0.11757841903532,4.94348885607829e-08,0.187131865904014,5.81247604216408e-09
"root1",17,"T1",8.08764494860569e-05,8.08764494860569e-05,0.11757841903532,9.36070017199733e-08,0.187131865904014,1.10061632728709e-08
"root1",18,"T2",7.10072389367101e-05,0.572452068183201,0.12949426475399,8.21843043248959e-08,0.206096523376481,1.06423960628706e-08
"root1",18,"T3",4.25262112913728e-05,0.572452068183201,0.12949426475399,4.92201519576074e-08,0.206096523376481,6.37372738883003e-09
"root1",18,"T1",7.59242036460773e-05,7.59242036460773e-05,0.12949426475399,8.78752357014783e-08,0.206096523376481,1.13793390372465e-08
"root1",19,"T2",6.95312922835119e-05,0.45399866472583,0.141091677159279,8.04760327355462e-08,0.224554378490251,1.13544984297833e-08
"root1",19,"T3",4.17774073884576e-05,0.45399866472583,0.141091677159279,4.83534807736778e-08,0.224554378490251,6.82227369884715e-09
"root1",19,"T1",7.37828224940648e-05,7.37828224940648e-05,0.141091677159279,8.53967852940565e-08,0.224554378490251,1.20487756611493e-08
"root1",2,"T2",5.547612637789e-05,0.016265106103225,0.112261118857557,6.42084796040393e-08,0.17866911983207,7.20811576049209e-09
"root1",2,"T3",3.11240118558769e-05,0.016265106103225,0.112261118857557,3.60231618702279e-08,0.17866911983207,4.04400045633867e-09
"root1",2,"T1",5.85021484335948e-05,5.85021484335948e-05,0.112261118857557,6.77108199462903e-08,0.17866911983207,7.60129240593313e-09
"root1",22,"T2",5.18046494174048e-05,0.185862778308171,0.155006257884998,5.99590849738481e-08,0.246700121525745,9.29403338800481e-09
"root1",22,"T3",3.32097616542931e-05,0.185862778308171,0.155006257884998,3.84372241369133e-08,0.246700121525745,5.95801027694985e-09
"root1",22,"T1",5.42113794239837e-05,5.42113794239837e-05,0.155006257884998,6.27446521110922e-08,0.246700121525745,9.72581372603645e-09
"root1",23,"T2",6.7875633423865e-05,0.714584123748387,0.142794402613454,7.85597609072512e-08,0.227264350217855,1.12178941282067e-08
"root1",23,"T3",4.24688670570521e-05,0.714584123748387,0.142794402613454,4.91537813160325e-08,0.227264350217855,7.01888483921522e-09
"root1",23,"T1",7.21122632292119e-05,7.21122632292119e-05,0.142794402613454,8.34632676264026e-08,0.227264350217855,1.1918087440879e-08
"root1",26,"T2",6.66390340326597e-05,2.11917214712348,0.198110554423136,7.71285116118746e-08,0.31530274015118,1.52799721972598e-08
"root1",26,"T3",4.36743487712848e-05,2.11917214712348,0.198110554423136,5.05490147815796e-08,0.31530274015118,1.0014293343922e-08
"root1",26,"T1",7.04086442932249e-05,7.04086442932249e-05,0.198110554423136,8.14914864504918e-08,0.31530274015118,1.61443235614724e-08
"root1",27,"T2",5.23959777578427e-05,1.88286246633308,0.216448461004425,6.06434927752809e-08,0.344488424934876,1.31261906811425e-08
"root1",27,"T3",3.73357284799732e-05,1.88286246633308,0.216448461004425,4.32126487036727e-08,0.344488424934876,9.35331130783481e-09
"root1",27,"T1",5.45580353838711e-05,5.45580353838711e-05,0.216448461004425,6.31458742868878e-08,0.344488424934876,1.36678273081758e-08
"root1",28,"T2",4.90123414746333e-05,6.45601111796429,0.286714473490561,5.67272470771219e-08,0.45632025712013,1.6264522778286e-08
"root1",28,"T3",3.60559712346458e-05,6.45601111796429,0.286714473490561,4.17314481882474e-08,0.45632025712013,1.1965010195292e-08
"root1",28,"T1",5.10020582883888e-05,5.10020582883888e-05,0.286714473490561,5.90301600560056e-08,0.45632025712013,1.69248012605212e-08
"root1",30,"T2",4.47537798981066e-05,12.6709173664667,0.344281293196947,5.17983563635493e-08,0.547940696263642,1.78332051143191e-08
"root1",30,"T3",3.49765145042116e-05,12.6709173664667,0.344281293196947,4.04820769724671e-08,0.547940696263642,1.39372218113793e-08
"root1",30,"T1",4.62149029812084e-05,4.62149029812084e-05,0.344281293196947,5.34894710430653e-08,0.547940696263642,1.84154242631272e-08
"root1",4,"T2",4.63274710328114e-05,0.0219751415466842,0.130536428757925,5.3619758139828e-08,0.207755178903868,6.99933173843683e-09
"root1",4,"T3",2.55447273366656e-05,0.0219751415466842,0.130536428757925,2.95656566396593e-08,0.207755178903868,3.85939523162415e-09
"root1",4,"T1",4.82882754648942e-05,4.82882754648942e-05,0.130536428757925,5.58892077139979e-08,0.207755178903868,7.29557758109516e-09
"root1",7,"T2",5.35447427429679e-05,0.0568728945834013,0.130808015042848,6.19730818784351e-08,0.208187421901083,8.10657582660598e-09
"root1",7,"T3",3.07994452671476e-05,0.0568728945834013,0.130808015042848,3.56475060962357e-08,0.208187421901083,4.66297951367641e-09
"root1",7,"T1",5.63157983042555e-05,5.63157983042555e-05,0.130808015042848,6.51803221114068e-08,0.208187421901083,8.52610855524658e-09
"root1",9,"T2",5.58456939627707e-05,0.0722097472142885,0.147668276203098,6.46362198643179e-08,0.235021360955823,9.54471916764827e-09
"root1",9,"T3",3.51541251135954e-05,0.0722097472142885,0.147668276203098,4.06876448074021e-08,0.235021360955823,6.008274371473e-09
"root1",9,"T1",5.88462040894104e-05,5.88462040894104e-05,0.147668276203098,6.81090325108917e-08,0.235021360955823,1.00575434247441e-08
"root10",0,"T2",5.68361181670281e-05,0.0141347576670105,0.117422265955701,6.5782544174801e-08,0.18688334055901,7.72433539733614e-09
"root10",0,"T3",3.23737388590961e-05,0.0141347576670105,0.117422265955701,3.74696051609909e-08,0.18688334055901,4.39976594246898e-09
"root10",0,"T1",6.00775124739068e-05,6.00775124739068e-05,0.117422265955701,6.95341579559106e-08,0.18688334055901,8.16485838850466e-09
"root10",10,"T2",5.75136193494613e-05,0.222513374203588,0.135913399025866,6.65666890618765e-08,0.216312892873878,9.04730497229757e-09
"root10",10,"T3",3.29632509000654e-05,0.222513374203588,0.135913399025866,3.81519107639646e-08,0.216312892873878,5.18535587126195e-09
"root10",10,"T1",6.04251749353544e-05,6.04251749353544e-05,0.135913399025866,6.99365450640676e-08,0.216312892873878,9.50531355578308e-09
"root10",11,"T2",5.37463924251062e-05,0.0228452932323142,0.127474305001559,6.22064727142433e-08,0.20288165758202,7.92972687584661e-09
"root10",11,"T3",3.36444686493792e-05,0.0228452932323142,0.127474305001559,3.89403572330778e-08,0.20288165758202,4.96389497479902e-09
"root10",11,"T1",5.65520244588309e-05,5.65520244588309e-05,0.127474305001559,6.54537320125358e-08,0.20288165758202,8.34366899805629e-09
"root10",12,"T2",5.70392556606358e-05,0.112249648792697,0.130175541548748,6.60176570146248e-08,0.207180809071476,8.59388425365828e-09
"root10",12,"T3",3.41710142122144e-05,0.112249648792697,0.130175541548748,3.95497849678407e-08,0.207180809071476,5.1484146763252e-09
"root10",12,"T1",6.01751399968841e-05,6.01751399968841e-05,0.130175541548748,6.96471527741714e-08,0.207180809071476,9.06635582970615e-09
"root10",13,"T2",5.31132525854684e-05,0.171681615782914,0.149549082995171,6.14736719739218e-08,0.238014757935416,9.19333127204594e-09
"root10",13,"T3",3.21752964946382e-05,0.171681615782914,0.149549082995171,3.72399264984238e-08,0.238014757935416,5.56919685864685e-09
"root10",13,"T1",5.57359669058655e-05,5.57359669058655e-05,0.149549082995171,6.45092209558628e-08,0.238014757935416,9.64729483868216e-09
"root10",15,"T2",6.65211361299397e-05,0.322352204304245,0.141645131401601,7.69920557059487e-08,0.225435228274658,1.09055498473485e-08
"root10",15,"T3",4.12008216532391e-05,0.322352204304245,0.141645131401601,4.76861361727304e-08,0.225435228274658,6.75450902422104e-09
"root10",15,"T1",7.06849458822393e-05,7.06849458822393e-05,0.141645131401601,8.18112799562955e-08,0.225435228274658,1.15881694995426e-08
"root10",16,"T2",6.42350962064371e-05,0.307715277099555,0.13183794839588,7.43461761648578e-08,0.209826611742985,9.80164733665352e-09
"root10",16,"T3",3.75523545154194e-05,0.307715277099555,0.13183794839588,4.34633732817354e-08,0.209826611742985,5.7301219638283e-09
"root10",16,"T1",6.84424856495332e-05,6.84424856495332e-05,0.13183794839588,7.92158398721449e-08,0.209826611742985,1.04436538092001e-08
"root10",17,"T2",6.21760660246697e-05,0.128679403457027,0.130064844417037,7.19630393804047e-08,0.207004629114497,9.35986152078945e-09
"root10",17,"T3",3.89050470279842e-05,0.128679403457027,0.130064844417037,4.50289896157225e-08,0.207004629114497,5.85668852862532e-09
"root10",17,"T1",6.59241943448867e-05,6.59241943448867e-05,0.130064844417037,7.63011508621374e-08,0.207004629114497,9.92409731572477e-09
"root10",18,"T2",6.23779481972245e-05,0.272122947546549,0.132993515064863,7.21966993023432e-08,0.211665753217394,9.60169281629956e-09
"root10",18,"T3",3.74324080863897e-05,0.272122947546549,0.132993515064863,4.33245463962844e-08,0.211665753217394,5.7618837138326e-09
"root10",18,"T1",6.61397418225654e-05,6.61397418225654e-05,0.132993515064863,7.65506271094507e-08,0.211665753217394,1.01807369797054e-08
"root10",19,"T2",6.23271702807102e-05,0.221975035342047,0.13895777040709,7.21379285656368e-08,0.221158160413171,1.00241257152668e-08
"root10",19,"T3",3.73432924801334e-05,0.221975035342047,0.13895777040709,4.32214033334877e-08,0.221158160413171,6.00594984108702e-09
"root10",19,"T1",6.60774418537984e-05,6.60774418537984e-05,0.13895777040709,7.64785206641185e-08,0.221158160413171,1.06272847155185e-08
"root10",20,"T2",5.77309208739189e-05,0.652228248373662,0.158930551710709,6.68181954559246e-08,0.252945829130814,1.06194526681241e-08
"root10",20,"T3",3.50064670983464e-05,0.652228248373662,0.158930551710709,4.05167443267898e-08,0.252945829130814,6.43934852937844e-09
"root10",20,"T1",6.06736736057844e-05,6.06736736057844e-05,0.158930551710709,7.02241592659542e-08,0.252945829130814,1.11607643755588e-08
"root10",23,"T2",6.56217646812895e-05,0.922911954953137,0.152157362306145,7.59511165292702e-08,0.242165963388474,1.15565215553004e-08
"root10",23,"T3",4.096482810586e-05,0.922911954953137,0.152157362306145,4.74129954928935e-08,0.242165963388474,7.21423633323182e-09
"root10",23,"T1",6.97371021983294e-05,6.97371021983294e-05,0.152157362306145,8.07142386554738e-08,0.242165963388474,1.22812656543656e-08
"root10",26,"T2",5.49735564902213e-05,1.32358316442325,0.226707394831443,6.36268014933117e-08,0.360816025229102,1.44246664080061e-08
"root10",26,"T3",3.66035597293578e-05,1.32358316442325,0.226707394831443,4.23652311682382e-08,0.360816025229102,9.60451118958313e-09
"root10",26,"T1",5.72953521576982e-05,5.72953521576982e-05,0.226707394831443,6.63140649973359e-08,0.360816025229102,1.5033888916229e-08
"root10",27,"T2",6.41680962512648e-05,2.32395961791861,0.202758676141316,7.42686299204454e-08,0.322700455626592,1.50586090814988e-08
"root10",27,"T3",4.47361282818038e-05,2.32395961791861,0.202758676141316,5.17779262520877e-08,0.322700455626592,1.0498423780216e-08
"root10",27,"T1",6.74511996638855e-05,6.74511996638855e-05,0.202758676141316,7.80685181294971e-08,0.322700455626592,1.58290693842512e-08
"root10",28,"T2",6.19994417583171e-05,4.61087131198025,0.210190494071603,7.17586131462003e-08,0.334528561224233,1.50829783510929e-08
"root10",28,"T3",4.25759847418967e-05,4.61087131198025,0.210190494071603,4.9277760117936e-08,0.334528561224233,1.03577167459309e-08
"root10",28,"T1",6.53600171799307e-05,6.53600171799307e-05,0.210190494071603,7.56481680323272e-08,0.334528561224233,1.59005258143265e-08
"root10",3,"T2",4.5194511655006e-05,0.00966840293617765,0.120236899720673,5.23084625636644e-08,0.191362969325896,6.28940736780989e-09
"root10",3,"T3",2.44667971670095e-05,0.00966840293617765,0.120236899720673,2.83180522766314e-08,0.191362969325896,3.4048748118701e-09
"root10",3,"T1",4.72413261041623e-05,4.72413261041623e-05,0.120236899720673,5.46774607687064e-08,0.191362969325896,6.57424836742798e-09
"root10",6,"T2",4.54033560908407e-05,0.0465297702990238,0.140436412889679,5.25501806606952e-08,0.223511493014868,7.37995886869262e-09
"root10",6,"T3",2.54603203692227e-05,0.0465297702990238,0.140436412889679,2.94679633903041e-08,0.223511493014868,4.13837507369868e-09
"root10",6,"T1",4.72491685607497e-05,4.72491685607497e-05,0.140436412889679,5.46865376860529e-08,0.223511493014868,7.67998118598551e-09
"root10",9,"T2",5.1320359358481e-05,0.0696437787392065,0.156378435602559,5.9398564072316e-08,0.248884010191249,9.28865452666714e-09
"root10",9,"T3",3.20983006340236e-05,0.0696437787392065,0.156378435602559,3.71508109190088e-08,0.248884010191249,5.80958569288106e-09
"root10",9,"T1",5.35537550976638e-05,5.35537550976638e-05,0.156378435602559,6.19835128445183e-08,0.248884010191249,9.69288477177689e-09
"root11",11,"T2",6.15882091730376e-05,0.0629836165409672,0.12474738703048,7.12826495058305e-08,0.198541632836987,8.8923242664619e-09
"root11",11,"T3",3.80703689291623e-05,0.0629836165409672,0.12474738703048,4.40629270013452e-08,0.198541632836987,5.4967350083326e-09
"root11",11,"T1",6.56227080969639e-05,6.56227080969639e-05,0.12474738703048,7.59522084455601e-08,0.198541632836987,9.47483954277797e-09
"root11",12,"T2",6.00791113928515e-05,0.0698630766373316,0.124525661244408,6.95360085565411e-08,0.198188745288344,8.65901744580009e-09
"root11",12,"T3",3.64081210827716e-05,0.0698630766373316,0.124525661244408,4.21390290309856e-08,0.198188745288344,5.24739045428079e-09
"root11",12,"T1",6.36296281112457e-05,6.36296281112457e-05,0.124525661244408,7.36454029065344e-08,0.198188745288344,9.17074249454704e-09
"root11",13,"T2",5.74358064975171e-05,0.0610939506285902,0.13713233691228,6.64766278906448e-08,0.218252892773325,9.11609533269217e-09
"root11",13,"T3",3.58609989585066e-05,0.0610939506285902,0.13713233691228,4.15057858316049e-08,0.218252892773325,5.69178540646857e-09
"root11",13,"T1",6.04897007381261e-05,6.04897007381261e-05,0.13713233691228,7.00112277061645e-08,0.218252892773325,9.6008032654441e-09
"root11",14,"T2",5.57322673700501e-05,0.249909029052061,0.16102937968215,6.45049390857061e-08,0.256286217594358,1.03871903274061e-08
"root11",14,"T3",3.54509558983e-05,0.249909029052061,0.16102937968215,4.10311989563657e-08,0.256286217594358,6.60722851555846e-09
"root11",14,"T1",5.86339537698351e-05,5.86339537698351e-05,0.16102937968215,6.78633724187906e-08,0.256286217594358,1.09279967637366e-08
"root11",16,"T2",5.91348301612426e-05,0.0679129848411733,0.128962820030705,6.84430904644011e-08,0.205250702829572,8.82661395790583e-09
"root11",16,"T3",3.6529034986911e-05,0.0679129848411733,0.128962820030705,4.22789756792951e-08,0.205250702829572,5.45241593161149e-09
"root11",16,"T1",6.26344022153645e-05,6.26344022153645e-05,0.128962820030705,7.24935210825978e-08,0.205250702829572,9.34896891276718e-09
"root11",17,"T2",5.50290868086657e-05,0.391216353921832,0.157227322712,6.36910726952149e-08,0.250235055987194,1.0013976840524e-08
"root11",17,"T3",3.31585714457021e-05,0.391216353921832,0.157227322712,3.83779762103034e-08,0.250235055987194,6.03406645065082e-09
"root11",17,"T1",5.77755210243882e-05,5.77755210243882e-05,0.157227322712,6.68698160004493e-08,0.250235055987194,1.05137621399947e-08
"root11",18,"T2",6.77883586378352e-05,0.339070184511173,0.125318391867075,7.84587484234204e-08,0.199450415259722,9.83232418032645e-09
