"Root","X","Barrier","Kr","Kx","perimeter"
"root1",0,"b0",5.40598419367755e-05,0.00798064070274776,0.115645206459867
"root1",0,"b1",6.92699649046348e-05,0.00798064070274776,0.115645206459867
"root1",0,"b2",3.49551448809312e-05,0.00798064070274776,0.115645206459867
"root1",0,"b3",3.49551448809312e-05,0.00798064070274776,0.115645206459867
"root1",0,"b4",3.36951356339491e-05,0.00798064070274776,0.115645206459867
"root1",0,"b5",6.44851207637329e-05,0.00798064070274776,0.115645206459867
"root1",0,"b6",5.34401495522482e-05,0.00798064070274776,0.115645206459867
"root1",0,"b7",0.000118634726054076,0.00798064070274776,0.115645206459867
"root1",0,"b8",3.04132585296443e-05,0.00798064070274776,0.115645206459867
"root1",0,"b9",5.63031640067736e-05,5.63031640067736e-05,0.115645206459867
"root1",10,"b0",0.000183989145788585,0.0358849993500862,0.10824430685198
"root1",10,"b1",9.6829255237766e-05,0.0358849993500862,0.10824430685198
"root1",10,"b2",4.82639973013406e-05,0.0358849993500862,0.10824430685198
"root1",10,"b3",4.82639973013406e-05,0.0358849993500862,0.10824430685198
"root1",10,"b4",4.4986664507153e-05,0.0358849993500862,0.10824430685198
"root1",10,"b5",8.44711474900702e-05,0.0358849993500862,0.10824430685198
"root1",10,"b6",6.57972187261883e-05,0.0358849993500862,0.10824430685198
"root1",10,"b7",0.000122722872294525,0.0358849993500862,0.10824430685198
"root1",10,"b8",3.90836617684871e-05,0.0358849993500862,0.10824430685198
"root1",10,"b9",7.04488887007614e-05,7.04488887007614e-05,0.10824430685198
"root1",11,"b0",0.000162295337693982,0.197457888845825,0.123792152695948
"root1",11,"b1",9.71957729577167e-05,0.197457888845825,0.123792152695948
"root1",11,"b2",4.9667413929706e-05,0.197457888845825,0.123792152695948
"root1",11,"b3",4.9667413929706e-05,0.197457888845825,0.123792152695948
"root1",11,"b4",4.67815673954037e-05,0.197457888845825,0.123792152695948
"root1",11,"b5",8.6640465935732e-05,0.197457888845825,0.123792152695948
"root1",11,"b6",6.77933181227806e-05,0.197457888845825,0.123792152695948
