"name","type","value","CS_id","age"
"xylem","n_cells",4,"B04_B_To_C04_Z20_01",2.05
"stele","layer_diameter",0.1131,"B04_B_To_C04_Z20_01",2.05
"phloem","cell_diameter",0.00671625,"B04_B_To_C04_Z20_01",2.05
"pericycle","n_layers",1,"B04_B_To_C04_Z20_01",2.05
"xylem","cell_diameter",0.0171039448393175,"B04_B_To_C04_Z20_01",2.05
"pericycle","order",2,"B04_B_To_C04_Z20_01",2.05
"exodermis","n_layers",1,"B04_B_To_C04_Z20_01",2.05
"phloem","order",1.5,"B04_B_To_C04_Z20_01",2.05
"xylem","max_size",0.0229903482463245,"B04_B_To_C04_Z20_01",2.05
"secondarygrowth","param",0,"B04_B_To_C04_Z20_01",2.05
"aerenchyma","n_files",10,"B04_B_To_C04_Z20_01",2.05
"cortex","order",4,"B05_A_To_C03_Z20_01",0.63
"cortex","n_layers",3,"B05_A_To_C03_Z20_01",0.63
"xylem","max_size",0.0177027552122218,"B05_A_To_C03_Z20_01",0.63
"xylem","order",1.5,"B05_A_To_C03_Z20_01",0.63
"exodermis","n_layers",1,"B05_A_To_C03_Z20_01",0.63
"phloem","n_layers",0,"B05_A_To_C03_Z20_01",0.63
"pericycle","cell_diameter",0.0154034666666667,"B05_A_To_C03_Z20_01",0.63
"xylem","cell_diameter",0.0146512441879742,"B05_A_To_C03_Z20_01",0.63
"stele","layer_diameter",0.12576,"B05_A_To_C03_Z20_01",0.63
"exodermis","cell_diameter",0.02555,"B05_A_To_C03_Z20_01",0.63
"randomness","param",2,"B05_A_To_C03_Z20_01",0.63
"pericycle","n_layers",1,"B05_A_To_C03_Z20_01",0.63
"aerenchyma","proportion",0,"B05_A_To_C03_Z20_01",0.63
"endodermis","order",3,"B05_A_To_C03_Z20_01",0.63
"aerenchyma","n_files",10,"B05_A_To_C03_Z20_01",0.63
"phloem","proportion",0,"B05_A_To_C03_Z20_01",0.63
"pericycle","order",2,"B05_A_To_C03_Z20_01",0.63
"secondarygrowth","param",0,"B05_A_To_C03_Z20_01",0.63
"xylem","n_files",2,"B05_A_To_C03_Z20_01",0.63
"endodermis","n_layers",1,"B05_A_To_C03_Z20_01",0.63
"stele","order",1,"B05_A_To_C03_Z20_01",0.63
"stele","cell_diameter",0.00749435256159022,"B05_A_To_C03_Z20_01",0.63
"epidermis","order",6,"B05_A_To_C03_Z20_01",0.63
"epidermis","cell_diameter",0.017413,"B05_A_To_C03_Z20_01",0.63
"exodermis","order",5,"B05_A_To_C03_Z20_01",0.63
"cortex","cell_diameter",0.0236728333333333,"B05_A_To_C03_Z20_01",0.63
"phloem","cell_diameter",0.0108494285714286,"B05_A_To_C03_Z20_01",0.63
"planttype","param",2,"B05_A_To_C03_Z20_01",0.63
"xylem","n_cells",4,"B05_A_To_C03_Z20_01",0.63
"stele","n_layers",5,"B05_A_To_C03_Z20_01",0.63
"phloem","order",1.5,"B05_A_To_C03_Z20_01",0.63
"epidermis","n_layers",1,"B05_A_To_C03_Z20_01",0.63
"endodermis","cell_diameter",0.0169963076923077,"B05_A_To_C03_Z20_01",0.63
"stele","SD",0.00101202505145012,"B05_A_To_C03_Z20_01",0.63
"cortex","order",4,"B05_B_To_C01_Z20_01",1.89
"phloem","proportion",0,"B05_B_To_C01_Z20_01",1.89
"phloem","cell_diameter",0.0105286666666667,"B05_B_To_C01_Z20_01",1.89
"phloem","n_layers",0,"B05_B_To_C01_Z20_01",1.89
"stele","n_layers",5,"B05_B_To_C01_Z20_01",1.89
"phloem","order",1.5,"B05_B_To_C01_Z20_01",1.89
"aerenchyma","proportion",0,"B05_B_To_C01_Z20_01",1.89
"aerenchyma","n_files",10,"B05_B_To_C01_Z20_01",1.89
"randomness","param",2,"B05_B_To_C01_Z20_01",1.89
"endodermis","n_layers",1,"B05_B_To_C01_Z20_01",1.89
"exodermis","cell_diameter",0.0311984,"B05_B_To_C01_Z20_01",1.89
"xylem","n_cells",6,"B05_B_To_C01_Z20_01",1.89
"stele","SD",0.00138009981093563,"B05_B_To_C01_Z20_01",1.89
"xylem","n_files",2,"B05_B_To_C01_Z20_01",1.89
"pericycle","n_layers",1,"B05_B_To_C01_Z20_01",1.89
"xylem","max_size",0.023994260660865,"B05_B_To_C01_Z20_01",1.89
"cortex","cell_diameter",0.0250015238095238,"B05_B_To_C01_Z20_01",1.89
"cortex","n_layers",3,"B05_B_To_C01_Z20_01",1.89
"stele","cell_diameter",0.00906928159770313,"B05_B_To_C01_Z20_01",1.89
"pericycle","order",2,"B05_B_To_C01_Z20_01",1.89
"secondarygrowth","param",0,"B05_B_To_C01_Z20_01",1.89
"xylem","cell_diameter",0.0182768574827478,"B05_B_To_C01_Z20_01",1.89
"epidermis","order",6,"B05_B_To_C01_Z20_01",1.89
"endodermis","cell_diameter",0.0166885714285714,"B05_B_To_C01_Z20_01",1.89
"endodermis","order",3,"B05_B_To_C01_Z20_01",1.89
"stele","layer_diameter",0.1452,"B05_B_To_C01_Z20_01",1.89
"epidermis","n_layers",1,"B05_B_To_C01_Z20_01",1.89
"planttype","param",2,"B05_B_To_C01_Z20_01",1.89
"xylem","order",1.5,"B05_B_To_C01_Z20_01",1.89
"pericycle","cell_diameter",0.0149964285714286,"B05_B_To_C01_Z20_01",1.89
"exodermis","n_layers",1,"B05_B_To_C01_Z20_01",1.89
"epidermis","cell_diameter",0.0163771666666667,"B05_B_To_C01_Z20_01",1.89
"exodermis","order",5,"B05_B_To_C01_Z20_01",1.89
"stele","order",1,"B05_B_To_C01_Z20_01",1.89
"stele","n_layers",3,"B05_C_To_C01_Z20_01",3.15
"xylem","max_size",0.0220882347567201,"B05_C_To_C01_Z20_01",3.15
"epidermis","cell_diameter",0.0139765,"B05_C_To_C01_Z20_01",3.15
"endodermis","order",3,"B05_C_To_C01_Z20_01",3.15
"stele","cell_diameter",0.00808694699817415,"B05_C_To_C01_Z20_01",3.15
"stele","layer_diameter",0.13526,"B05_C_To_C01_Z20_01",3.15
"phloem","proportion",0,"B05_C_To_C01_Z20_01",3.15
"xylem","order",1.5,"B05_C_To_C01_Z20_01",3.15
"pericycle","n_layers",1,"B05_C_To_C01_Z20_01",3.15
"aerenchyma","n_files",10,"B05_C_To_C01_Z20_01",3.15
