"CS_id","aerenchyma_n_files","aerenchyma_proportion","cortex_cell_diameter","cortex_n_layers","cortex_order","endodermis_cell_diameter","endodermis_n_layers","endodermis_order","epidermis_cell_diameter","epidermis_n_layers","epidermis_order","exodermis_cell_diameter","exodermis_n_layers","exodermis_order","pericycle_cell_diameter","pericycle_n_layers","pericycle_order","phloem_cell_diameter","phloem_n_layers","phloem_order","phloem_proportion","planttype_param","randomness_param","secondarygrowth_param","stele_cell_diameter","stele_layer_diameter","stele_n_layers","stele_order","stele_SD","xylem_cell_diameter","xylem_max_size","xylem_n_cells","xylem_n_files","xylem_order","plant_id","segment","coloration","cut","zoom","repetition","age","radius"
"B11_F_To_C03_Z10_01",10,0,0.0309581666666667,2,4,0.0273901333333333,1,3,0.031288,1,6,0.0417027142857143,1,5,0.0184228666666667,1,2,0.011021625,4,1.5,0.190220385674931,2,2,1,0.0170842260153678,0.4356,8,1,0.00275818794414442,0.0484205406249893,0.0719719471982765,14,2,1.5,"B11","F","To","C03","Z10","01",28.22,0.380097180952381
"P01_A_To_C04_Z20_03",10,0,0.02465025,2,4,0.01215175,1,3,0.0140233105859673,1,6,0.0212491666666667,1,5,0.00908333333333333,1,2,0.00769522944747726,1,1.5,0.127737226277372,2,2,1,0.00785112425815587,0.1096,6,1,0.000898006516288527,0.0198280119476704,0.0253642720550466,6,2,1.5,"P01","A","To","C04","Z20","03",1.58,0.151524727252634
"P04_A_FY_C01_Z20_04",10,0,0.0242814166666667,3,4,0.0159271,1,3,0.0167084285714286,1,6,0.0295325,1,5,0.01212175,1,2,0.00778331216103443,0,1.5,0,2,2,0,0.00778319738531254,0.106374,5,1,0.00104776887156073,0.0108401214252086,0.0133960041771441,4,2,1.5,"P04","A","FY","C01","Z20","04",0.93,0.188199278571429
"P04_B_BH_C01_Z20_05",10,0,0.0228735833333333,3,4,0.0150199545454545,1,3,0.017704,1,6,0.028227375,1,5,0.0132314545454545,1,2,0.00770851080899841,0,1.5,0,2,2,0,0.0077083971363261,0.1138,6,1,0.00159362667822576,0.0135379732942125,0.0173287228020121,5,2,1.5,"P04","B","BH","C01","Z20","05",2.78,0.186472079545455
"P04_C_BH_C01_Z20_01",10,0,0.0252135,3,4,0.018296,1,3,0.0152255555555556,1,6,0.0298616470588235,1,5,0.0144233076923077,1,2,0.00795471877361213,0,1.5,0,2,2,0,0.00795460147026224,0.1228,5,1,0.000987143425330664,0.0127667576054212,0.0167390019765994,8,2,1.5,"P04","C","BH","C01","Z20","01",4.63,0.200423702614379
"P04_D_FY_C02_Z20_01",10,0,0.0303832857142857,2,4,0.0200762272727273,1,3,0.0260385,1,6,0.0378826153846154,1,5,0.0151839090909091,1,2,0.0083815606363405,1,1.5,0.150214592274678,2,2,1,0.00838143703861594,0.1398,4,1,0.00155119099369402,0.0166311376333561,0.0256992659460525,11,2,1.5,"P04","D","FY","C02","Z20","01",7.41,0.214663914085914
"P04_D_To_C01_Z20_01",10,0,0.0275757142857143,2,4,0.0174982727272727,1,3,0.01448875,1,6,0.0384731538461539,1,5,0.013347,1,2,0.007968,0,1.5,0,2,2,0,0.00798921786692472,0.1464115,10,1,0.00134152766406868,0.0220420525943034,0.0331297965152746,6,2,1.5,"P04","D","To","C01","Z20","01",7.41,0.198817355144855
"P04_F_FY_C01_Z10_01",10,0,0.0290878235294118,2,4,0.0276701333333333,1,3,0.023787,1,6,0.0303235789473684,1,5,0.0177072,1,2,0.0106738712703816,1,1.5,0.12853470437018,2,2,1,0.0106737138693607,0.2334,5,1,0.00173465854383146,0.0243707174730504,0.036341342608212,9,2,1.5,"P04","F","FY","C01","Z10","01",16.68,0.256656359339525
"P11_A_To_C02_Z20_01",10,0,0.02255095,4,4,0.0148587058823529,1,3,0.0147818461132593,1,6,0.0217805,1,5,0.016602,1,2,0.00757,0,1.5,0,2,2,0,0.00749338662644927,0.1486,6,1,0.00118156469608625,0.0159200105138322,0.017370700043123,5,2,1.5,"P11","A","To","C02","Z20","01",0.75,0.215924851995612
"P11_B_To_C01_Z20_01",10,0,0.0231240416666667,4,4,0.0154721333333333,1,3,0.0159191111111111,1,6,0.029173625,1,5,0.0154466875,1,2,0.00530913299126285,0,1.5,0,2,2,0,0.00744819092405978,0.14502,8,1,0.000700932130180581,0.0175269941390385,0.0199795774626562,5,2,1.5,"P11","B","To","C01","Z20","01",2.25,0.225571036111111
"P11_C_To_C01_Z20_01",10,0,0.0226535555555556,4,4,0.0150572,1,3,0.014696,1,6,0.0276952727272727,1,5,0.015342375,1,2,0.00736229624616086,0,1.5,0,2,2,0,0.00726320077621543,0.1494,7,1,0.0012237062077919,0.016864051750779,0.0252150962587954,7,2,1.5,"P11","C","To","C01","Z20","01",3.75,0.222762694949495
"P11_D_To_C01_Z20_01",10,0,0.01912575,3,4,0.0122286666666667,1,3,0.0156160769230769,1,6,0.0235057777777778,1,5,0.0101310833333333,1,2,0.00785,1,1.5,0.112263748756572,2,2,1,0.00775656383027497,0.14074,8,1,0.00127052784963664,0.0235492319911277,0.0479520788168385,8,2,1.5,"P11","D","To","C01","Z20","01",11.25,0.179097771367521
"P11_E2_To_C01_Z20_03",10,0,0.019312375,2,4,0.0157731818181818,1,3,0.0129455,1,6,0.024319,1,5,0.0118394166666667,1,2,0.00592441666666667,3,1.5,0.169474010540457,2,2,1,0.0100729706734371,0.19354,7,1,0.00133181240268507,0.0339103923355025,0.0531666831291433,10,2,1.5,"P11","E2","To","C01","Z20","03",25.5,0.188432431818182
"P11_F_To_C01_Z20_01",10,0,0.0182119,3,4,0.0183638333333333,1,3,0.020522,1,6,0.029989,1,5,0.011926,1,2,0.0072274,4,1.5,0.203125,2,2,1,0.0120332504361276,0.2816,10,1,0.00231161954794562,0.0384559811792499,0.0624905001392175,17,2,1.5,"P11","F","To","C01","Z20","01",28.5,0.264310533333333
"P11_F2_To_C02_Z10_01",10,0,0.0399913333333333,3,4,0.0255603571428571,1,3,0.020522,1,6,0.0410771666666667,1,5,0.0192826842105263,1,2,0.0113211666666667,5,1.5,0.181339352896915,2,2,1,0.0214285929887247,0.7974,13,1,0.00674172900751614,0.0483185056973926,0.0712947962311412,26,2,1.5,"P11","F2","To","C02","Z10","01",30.5,0.605833523809524
"P12_B_To_C01_Z20_01",10,0,0.0182465625,4,4,0.0166604285714286,1,3,0.014674,1,6,0.023147,1,5,0.0144023888888889,1,2,0.00520916666666667,0,1.5,0,2,2,0,0.00726476777751085,0.1296,7,1,0.000834967626066567,0.016098640056791,0.0190291369558142,3,2,1.5,"P12","B","To","C01","Z20","01",1.52,0.192267678571429
"P12_C_To_C01_Z20_07",10,0,0.0195589473684211,4,4,0.0159677857142857,1,3,0.014842,1,6,0.0195904,1,5,0.0133836,1,2,0.006244,0,1.5,0,2,2,0,0.00791391822566565,0.1284,7,1,0.00111301484692788,0.0205683745174384,0.0251399231934749,3,2,1.5,"P12","C","To","C01","Z20","07",2.53,0.19283597518797
"P12_D_To_C01_Z20_03",10,0,0.0176693333333333,4,4,0.0141136666666667,1,3,0.0135903333333333,1,6,0.0231422857142857,1,5,0.0116284444444444,1,2,0.00812,0,1.5,0,2,2,0,0.00798953240107151,0.0947,6,1,0.00144421336913481,0.0172788123776661,0.0213145418650069,5,2,1.5,"P12","D","To","C01","Z20","03",3.88,0.168873619047619
"P12_D2_To_C03_Z20_06",10,0,0.020397375,2,4,0.01754275,1,3,0.0168635,1,6,0.0257274,1,5,0.0125332307692308,1,2,0.00730766666666667,3,1.5,0.189292543021033,2,2,1,0.0112756337983257,0.2092,6,1,0.00163394062693559,0.0431232899196462,0.0733212933746448,6,2,1.5,"P12","D2","To","C03","Z20","06",24.6,0.2055284
"P12_E_To_C01_Z20_02",10,0,0.0278423333333333,2,4,0.0213687272727273,1,3,0.024821,1,6,0.03150125,1,5,0.0171136,1,2,0.0075285,3,1.5,0.184992570579495,2,2,1,0.0125625403560368,0.2692,8,1,0.00178225641901776,0.0499225317242145,0.0690406426064456,9,2,1.5,"P12","E","To","C01","Z20","02",26.62,0.267975643939394
"P12_F_To_C01_Z10_01",10,0,0.042520625,2,4,0.038998,1,3,0.031031,1,6,0.05062125,1,5,0.0231002222222222,1,2,0.0147631666666667,4,1.5,0.109457987198693,2,2,1,0.0281191589149448,1.17488,15,1,0.00741966910219235,0.0520229932462736,0.0777419017328012,53,2,1.5,"P12","F","To","C01","Z10","01",28.64,0.7931315
"P13_B_To_C01_Z20_01",10,0,0.0220554166666667,4,4,0.015926375,1,3,0.0181425,1,6,0.0268950909090909,1,5,0.0169658,1,2,0.0056222,0,1.5,0,2,2,0,0.00911119106027667,0.16164,6,1,0.00123734004580943,0.015534104108169,0.0178719017508564,6,2,1.5,"P13","B","To","C01","Z20","01",1.47,0.230005632575758
"P13_D2_To_C01_Z20_01",10,0,0.021826,3,4,0.0164042857142857,1,3,0.018891,1,6,0.0316132,1,5,0.0112451818181818,1,2,0.00628628571428571,3,1.5,0.2177220003803,2,2,1,0.0109533889292745,0.21036,7,1,0.0013804581130886,0.0401544383912354,0.0704854038983427,9,2,1.5,"P13","D2","To","C01","Z20","01",22.2,0.237566485714286
"P13_E_To_C01_Z20_01",10,0,0.0235433,2,4,0.017127,1,3,0.01734575,1,6,0.0289903333333333,1,5,0.0128475,1,2,0.0062164,3,1.5,0.157174231332357,2,2,1,0.0109053762723563,0.2732,8,1,0.00115860504318435,0.0381880313596229,0.0873220552598408,14,2,1.5,"P13","E","To","C01","Z20","01",24.72,0.247149683333333
"P13_F_To_C01_Z10_01",10,0,0.0294048333333333,2,4,0.0263694444444444,1,3,0.020172,1,6,0.04484675,1,5,0.0160835454545455,1,2,0.00706391666666667,4,1.5,0.185396201702685,2,2,1,0.0134142570187328,0.3054,9,1,0.00213309335874401,0.0485796259137068,0.0917109005999144,12,2,1.5,"P13","F","To","C01","Z10","01",27.02,0.302897861111111
"P13_F2_To_C01_Z10_01",10,0,0.036432,2,4,0.023599,1,3,0.026452,1,6,0.047664,1,5,0.0153905,1,2,0.0104227272727273,6,1.5,0.239314593762033,2,2,1,0.0149592877432647,0.5194,13,1,0.0028540293012588,0.0570103193848272,0.0947980141661794,18,2,1.5,"P13","F2","To","C01","Z10","01",29.11,0.430279
"P14_B_To_C02_Z20_01",10,0,0.0237881875,4,4,0.0168731428571429,1,3,0.01722,1,6,0.0268179411764706,1,5,0.0140665555555556,1,2,0.00718,0,1.5,0,2,2,0,0.00727909576698297,0.13852,6,1,0.00108214588980007,0.0146810325554173,0.0181707939281768,8,2,1.5,"P14","B","To","C02","Z20","01",1.55,0.225323834033613
"P14_C_To_C01_Z20_03",10,0,0.0228869166666667,4,4,0.0168108666666667,1,3,0.016676,1,6,0.0286566666666667,1,5,0.0147316842105263,1,2,0.00776,0,1.5,0,2,2,0,0.00764814360878953,0.1342,7,1,0.00135684911207482,0.0151031288899544,0.0184937180282051,7,2,1.5,"P14","C","To","C01","Z20","03",2.58,0.2207912
"P14_D_To_C01_Z20_01",10,0,0.0234721875,4,4,0.0155433529411765,1,3,0.016676,1,6,0.0257045454545455,1,5,0.0143778947368421,1,2,0.00784,0,1.5,0,2,2,0,0.00771818824284183,0.1474,9,1,0.00145417375848272,0.0159192210039967,0.018878090344377,7,2,1.5,"P14","D","To","C01","Z20","01",4.13,0.225512648395722
"P14_D2_To_C02_Z20_01",10,0,0.0181894285714286,2,4,0.01264275,1,3,0.014197,1,6,0.02461725,1,5,0.00910455555555555,1,2,0.00561883333333333,2,1.5,0.148137350178166,2,2,1,0.00949114486073475,0.18522,8,1,0.00142732316567586,0.0401649114208087,0.0676905718385962,9,2,1.5,"P14","D2","To","C02","Z20","01",25.14,0.180445857142857
"P14_E_To_C01_Z20_02",10,0,0.02617375,2,4,0.0205677857142857,1,3,0.017946,1,6,0.029935625,1,5,0.0124178461538462,1,2,0.00691355555555556,3,1.5,0.146447669977082,2,2,1,0.0117184524993258,0.2618,9,1,0.00145005648072143,0.0479407625671205,0.0743420263794102,11,2,1.5,"P14","E","To","C01","Z20","02",27.21,0.251696910714286
"P14_F_To_C02_Z10_04",10,0,0.0324285,2,4,0.0346248461538462,1,3,0.014197,1,6,0.0452503333333333,1,5,0.02354425,1,2,0.0112425789473684,5,1.5,0.186865671641791,2,2,1,0.0196539315101566,0.67,13,1,0.00351869412837452,0.0480809701313269,0.0822873553874369,23,2,1.5,"P14","F","To","C02","Z10","04",28.76,0.49392917948718
