CS_id,param_id,value
B05_A_To_C03_Z20_01,cortex_order,4
B05_A_To_C03_Z20_01,endodermis_barrier,1
B05_A_To_C03_Z20_01,endodermis_cell_diameter,0.0169963076923077
B05_A_To_C03_Z20_01,endodermis_n_layers,1
B05_A_To_C03_Z20_01,endodermis_order,3
B05_A_To_C03_Z20_01,epidermis_cell_diameter,0.017413
B05_A_To_C03_Z20_01,epidermis_n_layers,1
B05_A_To_C03_Z20_01,epidermis_order,6
B05_A_To_C03_Z20_01,exodermis_barrier,0
B05_A_To_C03_Z20_01,exodermis_cell_diameter,0.02555
B05_A_To_C03_Z20_01,exodermis_n_layers,1
B05_A_To_C03_Z20_01,exodermis_order,5
B05_A_To_C03_Z20_01,pericycle_cell_diameter,0.0154034666666667
B05_A_To_C03_Z20_01,pericycle_n_layers,1
B05_A_To_C03_Z20_01,pericycle_order,2
B05_A_To_C03_Z20_01,phloem_max_size,0.013996
B05_A_To_C03_Z20_01,phloem_n_files,1
B05_A_To_C03_Z20_01,phloem_proportion,0
B05_A_To_C03_Z20_01,planttype_param,2
B05_A_To_C03_Z20_01,randomness_param,2
B05_A_To_C03_Z20_01,secondarygrowth_param,1
B05_A_To_C03_Z20_01,stele_cell_diameter,0.00749435256159022
B05_A_To_C03_Z20_01,stele_layer_diameter,0.12576
B05_A_To_C03_Z20_01,stele_mean_size,44.8361
B05_A_To_C03_Z20_01,stele_n_layers,5
B05_A_To_C03_Z20_01,stele_order,1
B05_A_To_C03_Z20_01,stele_SD,11.9419813678003
B05_A_To_C03_Z20_01,stele_totarea,12204.239
B05_A_To_C03_Z20_01,xylem_max_size,246.134
B05_A_To_C03_Z20_01,xylem_mean_size,168.59275
B05_A_To_C03_Z20_01,xylem_n_files,4
B05_A_To_C03_Z20_01,xylem_order,1.5
B05_B_To_C01_Z20_01,aerenchyma_n_files,10
B05_B_To_C01_Z20_01,aerenchyma_proportion,0
B05_B_To_C01_Z20_01,cortex_cell_diameter,0.0250015238095238
B05_B_To_C01_Z20_01,cortex_n_layers,3
B05_B_To_C01_Z20_01,cortex_order,4
B05_B_To_C01_Z20_01,endodermis_barrier,1
B05_B_To_C01_Z20_01,endodermis_cell_diameter,0.0166885714285714
B05_B_To_C01_Z20_01,endodermis_n_layers,1
B05_B_To_C01_Z20_01,endodermis_order,3
B05_B_To_C01_Z20_01,epidermis_cell_diameter,0.0163771666666667
B05_B_To_C01_Z20_01,epidermis_n_layers,1
B05_B_To_C01_Z20_01,epidermis_order,6
B05_B_To_C01_Z20_01,exodermis_barrier,0
B05_B_To_C01_Z20_01,exodermis_cell_diameter,0.0311984
B05_B_To_C01_Z20_01,exodermis_n_layers,1
B05_B_To_C01_Z20_01,exodermis_order,5
B05_B_To_C01_Z20_01,pericycle_cell_diameter,0.0149964285714286
B05_B_To_C01_Z20_01,pericycle_n_layers,1
B05_B_To_C01_Z20_01,pericycle_order,2
B05_B_To_C01_Z20_01,phloem_max_size,0.014253
B05_B_To_C01_Z20_01,phloem_n_files,1
B05_B_To_C01_Z20_01,phloem_proportion,0
B05_B_To_C01_Z20_01,planttype_param,2
B05_B_To_C01_Z20_01,randomness_param,2
B05_B_To_C01_Z20_01,secondarygrowth_param,1
B05_B_To_C01_Z20_01,stele_cell_diameter,0.00906928159770313
B05_B_To_C01_Z20_01,stele_layer_diameter,0.1452
B05_B_To_C01_Z20_01,stele_mean_size,65.9966666666667
B05_B_To_C01_Z20_01,stele_n_layers,5
B05_B_To_C01_Z20_01,stele_order,1
B05_B_To_C01_Z20_01,stele_SD,19.8652550617068
B05_B_To_C01_Z20_01,stele_totarea,16516.878
B05_B_To_C01_Z20_01,xylem_max_size,452.173
B05_B_To_C01_Z20_01,xylem_mean_size,262.357166666667
B05_B_To_C01_Z20_01,xylem_n_files,6
B05_B_To_C01_Z20_01,xylem_order,1.5
B05_C_To_C01_Z20_01,aerenchyma_n_files,10
B05_C_To_C01_Z20_01,aerenchyma_proportion,0
B05_C_To_C01_Z20_01,cortex_cell_diameter,0.0195481
B05_C_To_C01_Z20_01,cortex_n_layers,3
B05_C_To_C01_Z20_01,cortex_order,4
B05_C_To_C01_Z20_01,endodermis_barrier,1
B05_C_To_C01_Z20_01,endodermis_cell_diameter,0.012809
B05_C_To_C01_Z20_01,endodermis_n_layers,1
B05_C_To_C01_Z20_01,endodermis_order,3
B05_C_To_C01_Z20_01,epidermis_cell_diameter,0.0139765
B05_C_To_C01_Z20_01,epidermis_n_layers,1
B05_C_To_C01_Z20_01,epidermis_order,6
B05_C_To_C01_Z20_01,exodermis_barrier,0
B05_C_To_C01_Z20_01,exodermis_cell_diameter,0.023663
B05_C_To_C01_Z20_01,exodermis_n_layers,1
B05_C_To_C01_Z20_01,exodermis_order,5
B05_C_To_C01_Z20_01,pericycle_cell_diameter,0.0125043571428571
B05_C_To_C01_Z20_01,pericycle_n_layers,1
B05_C_To_C01_Z20_01,pericycle_order,2
B05_C_To_C01_Z20_01,phloem_max_size,0.00585331872736694
B05_C_To_C01_Z20_01,phloem_n_files,1
B05_C_To_C01_Z20_01,phloem_proportion,0
B05_C_To_C01_Z20_01,planttype_param,2
B05_C_To_C01_Z20_01,randomness_param,2
B05_C_To_C01_Z20_01,secondarygrowth_param,1
B05_C_To_C01_Z20_01,stele_cell_diameter,0.00808694699817415
B05_C_To_C01_Z20_01,stele_layer_diameter,0.13526
B05_C_To_C01_Z20_01,stele_mean_size,53.1122727272727
B05_C_To_C01_Z20_01,stele_n_layers,3
B05_C_To_C01_Z20_01,stele_order,1
B05_C_To_C01_Z20_01,stele_SD,19.1094982595463
B05_C_To_C01_Z20_01,stele_totarea,12756.954
B05_C_To_C01_Z20_01,xylem_max_size,383.188
B05_C_To_C01_Z20_01,xylem_mean_size,229.288
B05_C_To_C01_Z20_01,xylem_n_files,6
B05_C_To_C01_Z20_01,xylem_order,1.5
B05_D_To_C03_Z20_01,aerenchyma_n_files,10
B05_D_To_C03_Z20_01,aerenchyma_proportion,0
B05_D_To_C03_Z20_01,cortex_cell_diameter,0.0211655
B05_D_To_C03_Z20_01,cortex_n_layers,3
B05_D_To_C03_Z20_01,cortex_order,4
B05_D_To_C03_Z20_01,endodermis_barrier,1
B05_D_To_C03_Z20_01,endodermis_cell_diameter,0.0129880833333333
B05_D_To_C03_Z20_01,endodermis_n_layers,1
B05_D_To_C03_Z20_01,endodermis_order,3
B05_D_To_C03_Z20_01,epidermis_cell_diameter,0.01421975
B05_D_To_C03_Z20_01,epidermis_n_layers,1
B05_D_To_C03_Z20_01,epidermis_order,6
B05_D_To_C03_Z20_01,exodermis_barrier,1
B05_D_To_C03_Z20_01,exodermis_cell_diameter,0.0263024615384615
B05_D_To_C03_Z20_01,exodermis_n_layers,1
B05_D_To_C03_Z20_01,exodermis_order,5
B05_D_To_C03_Z20_01,pericycle_cell_diameter,0.0117045
B05_D_To_C03_Z20_01,pericycle_n_layers,1
B05_D_To_C03_Z20_01,pericycle_order,2
B05_D_To_C03_Z20_01,phloem_max_size,0.00820716953063599
B05_D_To_C03_Z20_01,phloem_n_files,1
B05_D_To_C03_Z20_01,phloem_proportion,0.115492957746479
B05_D_To_C03_Z20_01,planttype_param,2
B05_D_To_C03_Z20_01,randomness_param,2
B05_D_To_C03_Z20_01,secondarygrowth_param,1
B05_D_To_C03_Z20_01,stele_cell_diameter,0.00747008783335208
B05_D_To_C03_Z20_01,stele_layer_diameter,0.142
B05_D_To_C03_Z20_01,stele_mean_size,43.96325
