"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
22,23,0,-0.0192,-0.1197,-6.0856,-0.0159,-0.1214,-6.116,0.1887,0.0306258061118391,0.4314,0.3922,0.1961,2.5325,1,NA,"Tomato_60d_1",6.88819527127031e-05,0.176657267522847,0.000270336646257381,"Tomato_60d_1_20_1B_60",20
23,24,0,-0.0159,-0.1214,-6.116,-0.0145,-0.1301,-6.2845,0.1887,0.168730258104468,0.4314,0.3922,0.1961,2.6723,1,NA,"Tomato_60d_1",6.90124638009409e-05,0.173211879645943,0.00149080219215801,"Tomato_60d_1_20_1B_60",20
24,25,0,-0.0145,-0.1301,-6.2845,-0.0107,-0.1428,-6.484,0.1887,0.199939940982286,0.4314,0.3922,0.1961,2.8385,1,NA,"Tomato_60d_1",6.91676207599188e-05,0.169115860581984,0.0017675683330138,"Tomato_60d_1_20_1B_60",20
25,26,0,-0.0107,-0.1428,-6.484,-0.0109,-0.1436,-6.5094,0.1887,0.0254133823014572,0.4314,0.3922,0.1961,2.8596,1,NA,"Tomato_60d_1",6.91873187853968e-05,0.168595848534755,0.00022451508245375,"Tomato_60d_1_20_1B_60",20
26,27,0,-0.0109,-0.1436,-6.5094,-0.0183,-0.145,-6.7093,0.1887,0.200041820627587,0.4314,0.3922,0.1961,3.0265,1,NA,"Tomato_60d_1",6.93431292333716e-05,0.164589058497815,0.00176971192774921,"Tomato_60d_1_20_1B_60",20
27,28,0,-0.0183,-0.145,-6.7093,-0.0188,-0.1467,-6.7498,0.1887,0.0405387468972584,0.4314,0.3922,0.1961,3.0604,1,NA,"Tomato_60d_1",6.93747767719357e-05,0.163861988086447,0.000358468542250145,"Tomato_60d_1_20_1B_60",20
28,29,0,-0.0188,-0.1467,-6.7498,-0.0196,-0.1556,-6.8283,0.1887,0.0790069617185726,0.4314,0.3922,0.1961,3.1265,1,NA,"Tomato_60d_1",6.94364848043572e-05,0.162444308021805,0.000698944370453246,"Tomato_60d_1_20_1B_60",20
29,30,0,-0.0196,-0.1556,-6.8283,-0.0202,-0.1659,-7.0281,0.1887,0.200066214039253,0.4314,0.3922,0.1961,3.2942,1,NA,"Tomato_60d_1",6.95930420968999e-05,0.158847561473538,0.00177209018593258,"Tomato_60d_1_20_1B_60",20
30,31,0,-0.0202,-0.1659,-7.0281,-0.0158,-0.1832,-7.1643,0.1887,0.137364806264195,0.4314,0.3922,0.1961,3.4098,1,NA,"Tomato_60d_1",6.97009611369592e-05,0.156368229923272,0.00121712393410347,"Tomato_60d_1_20_1B_60",20
31,32,0,-0.0158,-0.1832,-7.1643,-0.0241,-0.2091,-7.3625,0.1887,0.200057341779801,0.4314,0.3922,0.1961,3.5785,1,NA,"Tomato_60d_1",6.98584519852118e-05,0.152750035870244,0.00177450517713531,"Tomato_60d_1_20_1B_60",20
32,33,0,-0.0241,-0.2091,-7.3625,-0.0238,-0.2122,-7.3933,0.1887,0.0309570670445378,0.4314,0.3922,0.1961,3.6046,1,NA,"Tomato_60d_1",6.9882817789239e-05,0.152190255996006,0.000274460392221076,"Tomato_60d_1_20_1B_60",20
33,34,0,-0.0238,-0.2122,-7.3933,-0.0117,-0.2063,-7.5286,0.1887,0.135968047717101,0.4314,0.3922,0.1961,3.7197,1,NA,"Tomato_60d_1",6.99902700514433e-05,0.149721648198119,0.00120660729981591,"Tomato_60d_1_20_1B_60",20
34,35,0,-0.0117,-0.2063,-7.5286,0.0063,-0.1978,-7.7276,0.1887,0.199993124881832,0.4314,0.3922,0.1961,3.8894,1,NA,"Tomato_60d_1",7.01486944554058e-05,0.146082006640332,0.0017766504750623,"Tomato_60d_1_20_1B_60",20
35,36,0,0.0063,-0.1978,-7.7276,0.0052,-0.201,-7.7819,0.1887,0.0544053306211813,0.4314,0.3922,0.1961,3.9356,1,NA,"Tomato_60d_1",7.01918247292011e-05,0.145091131920416,0.000483167377836258,"Tomato_60d_1_20_1B_60",20
36,37,0,0.0052,-0.201,-7.7819,9e-04,-0.2137,-7.9814,0.1887,0.19995006876718,0.4314,0.3922,0.1961,4.106,1,NA,"Tomato_60d_1",7.03509026221604e-05,0.141750369816611,0.00177810819162704,"Tomato_60d_1_20_1B_60",20
37,38,0,9e-04,-0.2137,-7.9814,8e-04,-0.214,-7.9857,0.1887,0.00431161222746177,0.4314,0.3922,0.1961,4.1097,1,NA,"Tomato_60d_1",7.03543567782869e-05,0.141681310175037,3.83155131079691e-05,"Tomato_60d_1_20_1B_60",20
38,39,0,8e-04,-0.214,-7.9857,-0.0136,-0.2215,-8.1639,0.1887,0.178938117794952,0.4314,0.3922,0.1961,4.2626,1,NA,"Tomato_60d_1",7.04970974463238e-05,0.13882746714889,0.0015923010229551,"Tomato_60d_1_20_1B_60",20
39,40,0,-0.0136,-0.2215,-8.1639,0.0063,-0.2246,-8.3629,0.1887,0.2000165493153,0.4314,0.3922,0.1961,4.4341,1,NA,"Tomato_60d_1",7.0657202250564e-05,0.135626459438071,0.0017814176443649,"Tomato_60d_1_20_1B_60",20
40,41,0,0.0063,-0.2246,-8.3629,0.0092,-0.2238,-8.3877,0.1887,0.0249817933703736,0.4314,0.3922,0.1961,4.4556,1,NA,"Tomato_60d_1",7.06772736983259e-05,0.135225166926219,0.000222374774495563,"Tomato_60d_1_20_1B_60",20
41,42,0,0.0092,-0.2238,-8.3877,0.0318,-0.2178,-8.5864,0.1887,0.20007111235758,0.4314,0.3922,0.1961,4.6278,1,NA,"Tomato_60d_1",7.0838031991563e-05,0.132011093877805,0.00178347462164789,"Tomato_60d_1_20_1B_60",20
42,43,0,0.0318,-0.2178,-8.5864,0.0324,-0.2178,-8.5918,0.1887,0.0054332310828823,0.4314,0.3922,0.1961,4.6325,1,NA,"Tomato_60d_1",7.08424197033993e-05,0.131923369468237,4.83987757964228e-05,"Tomato_60d_1_20_1B_60",20
43,44,0,0.0324,-0.2178,-8.5918,0.0503,-0.2097,-8.7908,0.1887,0.199967547367068,0.4314,0.3922,0.1961,4.8053,1,NA,"Tomato_60d_1",7.10037381300623e-05,0.128698097559027,0.00178396280892447,"Tomato_60d_1_20_1B_60",20
44,45,0,0.0503,-0.2097,-8.7908,0.0621,-0.2097,-8.9096,0.1887,0.119384588620138,0.4314,0.3922,0.1961,4.9087,1,NA,"Tomato_60d_1",7.11002677904614e-05,0.126768160548539,0.00106522301579148,"Tomato_60d_1_20_1B_60",20
45,46,0,0.0621,-0.2097,-8.9096,0.0615,-0.2027,-9.1095,0.1887,0.200023423628335,0.4314,0.3922,0.1961,5.0824,1,NA,"Tomato_60d_1",7.12624264172632e-05,0.123742104798098,0.00178662244249713,"Tomato_60d_1_20_1B_60",20
46,47,0,0.0615,-0.2027,-9.1095,0.0614,-0.2007,-9.1691,0.1887,0.0596336314507171,0.4314,0.3922,0.1961,5.1343,1,NA,"Tomato_60d_1",7.13108779586047e-05,0.122899088876846,0.000532485214317536,"Tomato_60d_1_20_1B_60",20
47,48,0,0.0614,-0.2007,-9.1691,0.056,-0.1864,-9.3685,0.1887,0.19998502443933,0.4314,0.3922,0.1961,5.3088,1,NA,"Tomato_60d_1",7.14737834299745e-05,0.120064671184005,0.00178800814648399,"Tomato_60d_1_20_1B_60",20
48,49,0,0.056,-0.1864,-9.3685,0.0558,-0.1858,-9.3795,0.1887,0.0110181668166725,0.4314,0.3922,0.1961,5.3184,1,NA,"Tomato_60d_1",7.14827455647891e-05,0.119908737603195,9.84425217663585e-05,"Tomato_60d_1_20_1B_60",20
49,50,0,0.0558,-0.1858,-9.3795,0.0583,-0.1799,-9.5794,0.1887,0.200002674982111,0.4314,0.3922,0.1961,5.4935,1,NA,"Tomato_60d_1",7.16462111695848e-05,0.117064574061553,0.00178954967321969,"Tomato_60d_1_20_1B_60",20
50,51,0,0.0583,-0.1799,-9.5794,0.06,-0.1716,-9.7599,0.1887,0.180698727167626,0.4314,0.3922,0.1961,5.6522,1,NA,"Tomato_60d_1",7.17943664607388e-05,0.114486797053794,0.00161776279207667,"Tomato_60d_1_20_1B_60",20
51,52,0,0.06,-0.1716,-9.7599,0.0656,-0.201,-9.9577,0.1887,0.200051393396798,0.4314,0.3922,0.1961,5.8285,1,NA,"Tomato_60d_1",7.19589523323863e-05,0.11162314181455,0.00179244195488015,"Tomato_60d_1_20_1B_60",20
52,53,0,0.0656,-0.201,-9.9577,0.0666,-0.2064,-10.0222,0.1887,0.0647333762444062,0.4314,0.3922,0.1961,5.8857,1,NA,"Tomato_60d_1",7.201235171899e-05,0.110694037562226,0.000579830401808045,"Tomato_60d_1_20_1B_60",20
53,54,0,0.0666,-0.2064,-10.0222,0.0692,-0.2226,-10.2215,0.1887,0.19997422333891,0.4314,0.3922,0.1961,6.0627,1,NA,"Tomato_60d_1",7.21775910796344e-05,0.107965482130736,0.00179342934502405,"Tomato_60d_1_20_1B_60",20
54,55,0,0.0692,-0.2226,-10.2215,0.072,-0.2338,-10.3414,0.1887,0.120454514236702,0.4314,0.3922,0.1961,6.1697,1,NA,"Tomato_60d_1",7.22774815405889e-05,0.106452972949136,0.00108038823970881,"Tomato_60d_1_20_1B_60",20
55,56,0,0.072,-0.2338,-10.3414,0.0758,-0.2324,-10.3866,0.1887,0.0453810533152322,0.4314,0.3922,0.1961,6.21,1,NA,"Tomato_60d_1",7.23151038356961e-05,0.105883308276066,0.000406977932297335,"Tomato_60d_1_20_1B_60",20
56,57,0,0.0758,-0.2324,-10.3866,0.1073,-0.2238,-10.5461,0.1887,0.162808046484195,0.4314,0.3922,0.1961,6.355,1,NA,"Tomato_60d_1",7.24504694136251e-05,0.103833646301,0.00146157642130886,"Tomato_60d_1_20_1B_60",20
57,58,0,0.1073,-0.2238,-10.5461,0.1476,-0.2129,-10.7417,0.1887,0.200005649920197,0.4314,0.3922,0.1961,6.5337,1,NA,"Tomato_60d_1",7.26172958189763e-05,0.101307614611729,0.00179701373971911,"Tomato_60d_1_20_1B_60",20
58,59,0,0.1476,-0.2129,-10.7417,0.1574,-0.2093,-10.7928,0.1887,0.052155632485859,0.4314,0.3922,0.1961,6.5805,1,NA,"Tomato_60d_1",7.26609862261975e-05,0.100646068539777,0.000468414506337912,"Tomato_60d_1_20_1B_60",20
59,60,0,0.1574,-0.2093,-10.7928,0.1886,-0.2255,-10.9897,0.1887,0.200013724529093,0.4314,0.3922,0.1961,6.76,1,NA,"Tomato_60d_1",7.28285594761165e-05,0.0981087283706435,0.00179863680642134,"Tomato_60d_1_20_1B_60",20
60,61,0,0.1886,-0.2255,-10.9897,0.1912,-0.2338,-11.0921,0.1887,0.102768720922274,0.4314,0.3922,0.1961,6.8524,1,NA,"Tomato_60d_1",7.29148200237071e-05,0.0968025989465326,0.000924111453723854,"Tomato_60d_1_20_1B_60",20
61,62,0,0.1912,-0.2338,-11.0921,0.1977,-0.2394,-11.2379,0.1887,0.146052216689785,0.4314,0.3922,0.1961,6.9842,1,NA,"Tomato_60d_1",7.30378626662661e-05,0.0949395268891968,0.00131420307293194,"Tomato_60d_1_20_1B_60",20
