"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","kw_lignin","Kr","Barrier_Name"
"b1",1.18387671567175e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.12294278221895e-07,"En.CS"
"b6",8.23504847331251e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,7.81119192726268e-08,"En.CS-Ex.Sub"
"b9",1.01522761978163e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.62974026646194e-08,"En.CS-Ex.LC"
"b1",1.45486262245619e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.37998109041303e-07,"En.CS"
"b6",9.13291393017874e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,8.66284440158266e-08,"En.CS-Ex.Sub"
"b9",1.00095980672784e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,9.49440575506643e-08,"En.CS-Ex.LC"
"b1",1.50950264575616e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.43180880099535e-07,"En.CS"
"b6",9.89093676949183e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,9.38185193412016e-08,"En.CS-Ex.Sub"
"b9",1.33691604606206e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.26810520427056e-07,"En.CS-Ex.LC"
"b1",6.62208967604323e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.67444621298191e-08,"En.CS"
