"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","Kr","Barrier_Name"
"b1",9.02286147280983e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",9.25367301937431e-08,"En.CS"
"b2",4.6567866028801e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.77591068796891e-08,"En.Sub*"
"b3",4.6567866028801e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.77591068796891e-08,"En.Sub"
"b4",4.3195750376204e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.43007299859863e-08,"En.Sub-Ex.CS"
"b5",7.8343660919566e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",8.03477503755396e-08,"En.CS-Ex.CS"
"b6",6.44463691466689e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",6.60949554823933e-08,"En.CS-Ex.Sub"
"b7",1.37896349635547e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",1.41423841420819e-07,"Ex.CS"
"b8",3.86123070799596e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",3.96000387813057e-08,"En.Sub-Ex.Sub"
"b9",6.80007829804098e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",6.97402938810927e-08,"En.CS-Ex.LC"
"b0",5.72464227913015e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",5.8710829112906e-08,NA
