"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"1","root29",16,0.020451661981684,"b6",5.32685146416877e-05,0.0207279504489434,0.143202452528519,6.16533734278793e-08,"cortex_cell_diameter"
"2","root1",30,0.0206178207316003,"b4",4.56244232927442e-05,1.05193053173622,0.251281451472479,5.28060454777132e-08,"cortex_cell_diameter"
"3","root27",24,0.0241301190434104,"b6",5.50129713285296e-05,0.103694803446946,0.149642575745936,6.36724205191315e-08,"cortex_cell_diameter"
"4","root18",7,0.0231071210221362,"b4",3.8230213508381e-05,0.0268035710534306,0.134630973648279,4.42479323013669e-08,"cortex_cell_diameter"
"5","root19",25,0.0236256404188912,"b4",4.36858123513756e-05,0.151145832545175,0.133708180975253,5.05622828140921e-08,"cortex_cell_diameter"
"6","root7",20,0.0196957929488554,"b4",4.31894553851665e-05,0.165212379774082,0.136511340143677,4.99877955846834e-08,"cortex_cell_diameter"
"7","root18",13,0.02301372781683,"b1",7.37414679168658e-05,0.042177981958161,0.115849170864217,8.53489212000762e-08,"cortex_cell_diameter"
"8","root13",21,0.0237809940026049,"b5",6.57939835750296e-05,0.0747741335482281,0.14748501272752,7.61504439525805e-08,"cortex_cell_diameter"
"9","root27",14,0.0216902966232909,"b6",6.18645990898955e-05,0.0394672567761347,0.13029909183771,7.16025452429346e-08,"cortex_cell_diameter"
"10","root20",1,0.0219272233171037,"b4",3.58928582767768e-05,0.00994960208207077,0.140631460230419,4.15426600425657e-08,"cortex_cell_diameter"
"11","root30",9,0.0322688280086435,"b4",3.4964134032884e-05,0.0115614289543358,0.150689356136071,4.04677477232454e-08,"cortex_cell_diameter"
"12","root14",3,0.0283579449959667,"b6",4.57463376542791e-05,0.0164565859719718,0.145452047361048,5.2947150062823e-08,"cortex_cell_diameter"
"13","root8",7,0.0232778429523597,"b6",5.69867704192819e-05,0.023043654697286,0.119715939410564,6.59569102075022e-08,"cortex_cell_diameter"
"14","root5",27,0.0396907751477671,"b4",4.17912015024356e-05,0.690092197824249,0.203014504084791,4.83694461833745e-08,"cortex_cell_diameter"
"15","root9",16,0.0210142901671204,"b1",8.69991248483324e-05,0.0361496610392461,0.129316377397058,1.00693431537422e-07,"cortex_cell_diameter"
"16","root9",17,0.0279975324880178,"b1",7.85876851174516e-05,0.0746372135463285,0.140429071830021,9.09579688859394e-08,"cortex_cell_diameter"
"17","root1",21,0.031000319094542,"b1",7.86239629051475e-05,0.0652308322370175,0.129011574737812,9.09999570661429e-08,"cortex_cell_diameter"
"18","root26",4,0.0257876002636439,"b4",3.92043923173158e-05,0.0188206011062805,0.137023735454358,4.53754540709674e-08,"cortex_cell_diameter"
"19","root16",11,0.0250042590776339,"b5",6.40861686239802e-05,0.0211977370643062,0.142563467377613,7.41738062777549e-08,"cortex_cell_diameter"
"20","root11",1,0.0244644388667304,"b5",7.02466982081369e-05,0.0156133708068046,0.116386715883599,8.13040488520103e-08,"cortex_cell_diameter"
"21","root22",18,0.0234740999994964,"b4",3.89839469879191e-05,0.0448449419869995,0.128707824438198,4.51203090137953e-08,"cortex_cell_diameter"
"22","root3",8,0.0218176161590575,"b5",6.51761489000349e-05,0.00476890087833841,0.127691921541004,7.54353575231885e-08,"cortex_cell_diameter"
"23","root11",20,0.0275269510124666,"b5",6.35123908562854e-05,0.111726306259228,0.163042419625814,7.35097116392192e-08,"cortex_cell_diameter"
"24","root17",14,0.0294315259161632,"b5",5.84235470590128e-05,0.0286976990164432,0.155473505215115,6.76198461331167e-08,"cortex_cell_diameter"
"25","root28",9,0.0202305042418993,"b4",4.37731369633271e-05,0.00814992120853051,0.108358675897309,5.06633529668138e-08,"cortex_cell_diameter"
"26","root26",9,0.019790469392798,"b6",5.57227802003347e-05,0.0141260379089956,0.122749289007758,6.44939585652022e-08,"cortex_cell_diameter"
"27","root18",7,0.0231071210221362,"b6",5.63768945179396e-05,0.0268035710534306,0.134630973648279,6.52510353216894e-08,"cortex_cell_diameter"
"28","root6",5,0.0258442211809438,"b1",6.50918109697008e-05,0.0292148673673024,0.142477795005503,7.53377441778944e-08,"cortex_cell_diameter"
"29","root22",10,0.0195489395063295,"b4",3.56157255913972e-05,0.0310906717899449,0.131377123615907,4.12219046196727e-08,"cortex_cell_diameter"
"30","root2",6,0.0246873567549806,"b4",3.34420855970043e-05,0.0330084517504071,0.153023648408876,3.87061175891253e-08,"cortex_cell_diameter"
"31","root29",1,0.0214174647143401,"b4",3.57274691768572e-05,0.013605798133031,0.101619886752727,4.13512374732143e-08,"cortex_cell_diameter"
"32","root25",4,0.025895199332162,"b5",6.88201261612186e-05,0.0199627454574964,0.124416460642969,7.96529237977067e-08,"cortex_cell_diameter"
"33","root29",6,0.023273161365846,"b5",6.81406354447918e-05,0.0172096971876568,0.113519500591459,7.88664762092498e-08,"cortex_cell_diameter"
