"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root16",24,"b0",0.000112839841686237,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b1",5.36960221297885e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b2",3.85046525183332e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b3",3.85046525183332e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b4",3.48042688392063e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b5",4.65136970845813e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b6",4.15313422740239e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b7",6.9989959824022e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b8",3.20047792092512e-05,0.121670706113198,1e-04,0.145897114054293
"root16",24,"b9",4.27368331758481e-05,4.27368331758481e-05,1e-04,0.145897114054293
"root16",24,"b0",0.000127281399315553,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b1",6.33967731031865e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b2",4.15748789558144e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b3",4.15748789558144e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b4",3.85790686313267e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b5",5.65570903360648e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b6",4.88977035587438e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b7",7.84261454195341e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b8",3.48993977530167e-05,0.121670706113198,2e-04,0.145897114054293
"root16",24,"b9",5.07524065176179e-05,5.07524065176179e-05,2e-04,0.145897114054293
"root16",24,"b0",0.000138164048955649,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b1",7.05127204541697e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b2",4.33208041528714e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b3",4.33208041528714e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b4",4.08164011142248e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b5",6.40360070454923e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b6",5.38802312936495e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b7",8.4158362276674e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b8",3.64686493522012e-05,0.121670706113198,3e-04,0.145897114054293
"root16",24,"b9",5.6298932360764e-05,5.6298932360764e-05,3e-04,0.145897114054293
"root16",24,"b0",0.000147498964664456,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b1",7.63548723769403e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b2",4.45322374292685e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b3",4.45322374292685e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b4",4.23864190622796e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b5",7.02088861461262e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b6",5.7689040030882e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b7",8.88098155736811e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b8",3.74977756341694e-05,0.121670706113198,4e-04,0.145897114054293
"root16",24,"b9",6.06337008385346e-05,6.06337008385346e-05,4e-04,0.145897114054293
"root16",24,"b0",0.00015599221977015,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b1",8.14266232962923e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b2",4.54648633537363e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b3",4.54648633537363e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b4",4.35921453493481e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b5",7.55758636263074e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b6",6.07949096035804e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b7",9.28831224002913e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b8",3.82471891142261e-05,0.121670706113198,5e-04,0.145897114054293
"root16",24,"b9",6.42424619511825e-05,6.42424619511825e-05,5e-04,0.145897114054293
"root16",24,"b0",0.000163966644662583,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b1",8.59793108351326e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b2",4.6229293980859e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b3",4.6229293980859e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b4",4.45716599266242e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b5",8.03919149216382e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b6",6.34322409538783e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b7",9.65953362450113e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b8",3.88307031647582e-05,0.121670706113198,6e-04,0.145897114054293
"root16",24,"b9",6.73657859032628e-05,6.73657859032628e-05,6e-04,0.145897114054293
"root16",24,"b0",0.000171593674530894,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b1",9.01575794535022e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b2",4.68820471573087e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b3",4.68820471573087e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b4",4.53982982347965e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b5",8.48060775509021e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b6",6.57348977191744e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b7",0.000100059035121431,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b8",3.93065717145559e-05,0.121670706113198,7e-04,0.145897114054293
"root16",24,"b9",7.01406431040006e-05,7.01406431040006e-05,7e-04,0.145897114054293
"root16",24,"b0",0.000178973828048488,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b1",9.40525474936072e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b2",4.74553969447225e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b3",4.74553969447225e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b4",4.61151848253122e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b5",8.89134417342196e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b6",6.77864763081501e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b7",0.000103339904847491,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b8",3.97079295365723e-05,0.121670706113198,8e-04,0.145897114054293
"root16",24,"b9",7.26524651284909e-05,7.26524651284909e-05,8e-04,0.145897114054293
"root16",24,"b0",0.000186170404417127,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b1",9.77253700669482e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b2",4.79693211004881e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b3",4.79693211004881e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b4",4.67496153327879e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b5",9.27785254391412e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b6",6.96426153763834e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b7",0.000106479580666235,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b8",4.00551224488816e-05,0.121670706113198,9e-04,0.145897114054293
"root16",24,"b9",7.49581196996844e-05,7.49581196996844e-05,9e-04,0.145897114054293
"root16",24,"b0",0.000193225490748796,0.121670706113198,0.001,0.145897114054293
"root16",24,"b1",0.000101219084125037,0.121670706113198,0.001,0.145897114054293
"root16",24,"b2",4.84369722043804e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b3",4.84369722043804e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b4",4.73198629132181e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b5",9.64471609816291e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b6",7.13421708356671e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b7",0.000109506137478982,0.121670706113198,0.001,0.145897114054293
"root16",24,"b8",4.03613954234822e-05,0.121670706113198,0.001,0.145897114054293
"root16",24,"b9",7.70973679195867e-05,7.70973679195867e-05,0.001,0.145897114054293
