"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root19",8,"b0",0.0001220671419278,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b1",5.43467952940945e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b2",3.80075966105778e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b3",3.80075966105778e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b4",3.34236658870252e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b5",4.53496850594573e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b6",4.03885955376206e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b7",7.43436720119283e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b8",3.06700806002159e-05,0.0115091585385281,1e-04,0.12367198490328
"root19",8,"b9",4.17718728501023e-05,4.17718728501023e-05,1e-04,0.12367198490328
"root19",8,"b0",0.000139405164335108,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b1",6.47944446317794e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b2",4.11042823433595e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b3",4.11042823433595e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b4",3.73407685759928e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b5",5.58788700550195e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b6",4.80718082596678e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b7",8.34969423520732e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b8",3.36947398044669e-05,0.0115091585385281,2e-04,0.12367198490328
"root19",8,"b9",5.01336968001394e-05,5.01336968001394e-05,2e-04,0.12367198490328
"root19",8,"b0",0.000151454173536612,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b1",7.23308829194186e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b2",4.27749330186886e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b3",4.27749330186886e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b4",3.95973800111012e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b5",6.36739089923329e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b6",5.32187413657556e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b7",8.94786254710439e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b8",3.52913533851354e-05,0.0115091585385281,3e-04,0.12367198490328
"root19",8,"b9",5.58663328470184e-05,5.58663328470184e-05,3e-04,0.12367198490328
"root19",8,"b0",0.000161138095090196,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b1",7.83892465377847e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b2",4.38818031653031e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b3",4.38818031653031e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b4",4.11389254790541e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b5",7.00387724027831e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b6",5.71051925741356e-05,0.0115091585385281,4e-04,0.12367198490328
"root19",8,"b7",9.41419827555081e-05,0.0115091585385281,4e-04,0.12367198490328
