"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root4",15,"b0",9.84683204965088e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b1",5.07154582660185e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b2",3.56906184479997e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b3",3.56906184479997e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b4",3.23120187961495e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b5",4.40983162505916e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b6",3.95576496500227e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b7",7.22028648332633e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b8",2.98206615398849e-05,0.215249481694762,1e-04,0.147078000613322
"root4",15,"b9",4.07643921851012e-05,4.07643921851012e-05,1e-04,0.147078000613322
"root4",15,"b0",0.000111563753255789,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b1",6.06832868751292e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b2",3.85921975991291e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b3",3.85921975991291e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b4",3.59354346532825e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b5",5.43437529095249e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b6",4.72117806544513e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b7",8.10054234198157e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b8",3.26784548291265e-05,0.215249481694762,2e-04,0.147078000613322
"root4",15,"b9",4.90243707200742e-05,4.90243707200742e-05,2e-04,0.147078000613322
"root4",15,"b0",0.000121082075354678,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b1",6.81505165477208e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b2",4.02287021704308e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b3",4.02287021704308e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b4",3.80383286147936e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b5",6.20840530698033e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b6",5.24698883558779e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b7",8.70140498411478e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b8",3.42026080203636e-05,0.215249481694762,3e-04,0.147078000613322
"root4",15,"b9",5.48353457409281e-05,5.48353457409281e-05,3e-04,0.147078000613322
