"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root20",12,"b0",8.988187608997e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b1",4.58642679013698e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b2",3.19011668677102e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b3",3.19011668677102e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b4",2.9347784719928e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b5",4.07162013411209e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b6",3.68325571133139e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b7",7.02207711515264e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b8",2.72890347255223e-05,0.0698918671587232,1e-04,0.138535147332716
"root20",12,"b9",3.7887887916749e-05,3.7887887916749e-05,1e-04,0.138535147332716
"root20",12,"b0",0.000102436010537079,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b1",5.52627201203897e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b2",3.47294576818573e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b3",3.47294576818573e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b4",3.27305497231483e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b5",5.03512748715051e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b6",4.41846524073719e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b7",7.84757033221938e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b8",3.00142123778118e-05,0.0698918671587232,2e-04,0.138535147332716
"root20",12,"b9",4.57911919564357e-05,4.57911919564357e-05,2e-04,0.138535147332716
"root20",12,"b0",0.00011146470980748,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b1",6.22978967510106e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b2",3.63388873797916e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b3",3.63388873797916e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b4",3.46969798812642e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b5",5.76155874235442e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b6",4.92484539835524e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b7",8.40598504939404e-05,0.0698918671587232,3e-04,0.138535147332716
"root20",12,"b8",3.14796445802509e-05,0.0698918671587232,3e-04,0.138535147332716
