"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root11",7,"b0",3.24036821738116e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b1",4.64661822683689e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b2",3.19719077534423e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b3",3.19719077534423e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b4",2.89498475578088e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b5",4.02900313349229e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b6",3.61942128460552e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b7",6.761193072146e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b8",2.67871220842097e-05,0.0580891082882042,1e-04,0.131345284315946
"root11",7,"b9",3.72658598733429e-05,3.72658598733429e-05,1e-04,0.131345284315946
"root11",7,"b0",3.96632199921702e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b1",5.6278860689083e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b2",3.48019371268132e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b3",3.48019371268132e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b4",3.23825856128564e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b5",5.01919582635241e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b6",4.37965079059685e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b7",7.63925716703221e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b8",2.96007176573827e-05,0.0580891082882042,2e-04,0.131345284315946
"root11",7,"b9",4.5439770925998e-05,4.5439770925998e-05,2e-04,0.131345284315946
"root11",7,"b0",4.54687046745211e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b1",6.37102450231721e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b2",3.6377156003716e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b3",3.6377156003716e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b4",3.43562706052613e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b5",5.77495184026273e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b6",4.9110593529305e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b7",8.25102994465007e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b8",3.11049720953029e-05,0.0580891082882042,3e-04,0.131345284315946
"root11",7,"b9",5.12811308200706e-05,5.12811308200706e-05,3e-04,0.131345284315946
"root11",7,"b0",5.04840019483391e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b1",6.9967504239699e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b2",3.74536440957681e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b3",3.74536440957681e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b4",3.57174089243879e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b5",6.41357112374312e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b6",5.32882711689441e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b7",8.75857942310963e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b8",3.20830814196859e-05,0.0580891082882042,4e-04,0.131345284315946
"root11",7,"b9",5.5969924679976e-05,5.5969924679976e-05,4e-04,0.131345284315946
"root11",7,"b0",5.49926500543824e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b1",7.55135964097471e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b2",3.82723782317689e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b3",3.82723782317689e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b4",3.67512800263831e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b5",6.98065765719964e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b6",5.67757301791739e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b7",9.2117405892321e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b8",3.27913859931859e-05,0.0580891082882042,5e-04,0.131345284315946
"root11",7,"b9",5.99597751854093e-05,5.99597751854093e-05,5e-04,0.131345284315946
"root11",7,"b0",5.91465478660054e-05,0.0580891082882042,6e-04,0.131345284315946
"root11",7,"b1",8.05803394162553e-05,0.0580891082882042,6e-04,0.131345284315946
"root11",7,"b2",3.8936478023391e-05,0.0580891082882042,6e-04,0.131345284315946
"root11",7,"b3",3.8936478023391e-05,0.0580891082882042,6e-04,0.131345284315946
