"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root18",6,"b0",2.731001592012e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b1",4.75351139247178e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b2",3.28794655931077e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b3",3.28794655931077e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b4",2.96212864082881e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b5",4.09968838649469e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b6",3.67467706426271e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b7",7.22083485203827e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b8",2.7341126272728e-05,0.041204039450927,1e-04,0.143823189196194
"root18",6,"b9",3.79174716152404e-05,3.79174716152404e-05,1e-04,0.143823189196194
"root18",6,"b0",3.40805284451314e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b1",5.74818358256014e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b2",3.57654652753359e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b3",3.57654652753359e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b4",3.31974755498542e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b5",5.11209318007366e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b6",4.45269105806933e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b7",8.16199373492482e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b8",3.02866677494029e-05,0.041204039450927,2e-04,0.143823189196194
"root18",6,"b9",4.63126450113731e-05,4.63126450113731e-05,2e-04,0.143823189196194
"root18",6,"b0",3.94959574406816e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b1",6.49451607746525e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b2",3.73838720988227e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b3",3.73838720988227e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b4",3.52497190760042e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b5",5.87616373352153e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b6",4.9890479195962e-05,0.041204039450927,3e-04,0.143823189196194
"root18",6,"b7",8.78821093533962e-05,0.041204039450927,3e-04,0.143823189196194
