"Name","Barrier","Kr","Kx","perimeter"
"P11_B_To_C01_Z20_01","b0",4.86378808541061e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b1",6.82761390000832e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b2",3.58729876281097e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b3",3.58729876281097e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b4",3.4357898317874e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b5",6.29865958242844e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b6",5.24265159371575e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b7",9.0352806351184e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b8",3.09575214117064e-05,0.0241593576412262,0.143165890092194
"P11_B_To_C01_Z20_01","b9",5.50055530268571e-05,0.0241593576412262,0.143165890092194
