"Name","Barrier","Kr","Kx","perimeter"
"P04_C_BH_C01_Z20_01","b0",5.38572801668633e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b1",7.25485636970292e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b2",3.70409925591391e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b3",3.70409925591391e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b4",3.54840987128268e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b5",6.68014398227913e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b6",5.50571412143379e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b7",9.74605435960932e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b8",3.18747276738539e-05,0.0176251304053495,0.126781055714646
"P04_C_BH_C01_Z20_01","b9",5.78685186169129e-05,0.0176251304053495,0.126781055714646
