"Name","Barrier","Kr","Kx","perimeter"
"B05_A_To_C03_Z20_01","b0",5.56342522843378e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b1",7.64124253202563e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b2",3.85530348516626e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b3",3.85530348516626e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b4",3.67184418549124e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b5",6.95190386626118e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b6",5.66603017580508e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b7",0.000101785624090604,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b8",3.27908271958846e-05,0.0160317036955957,0.120046154359917
"B05_A_To_C03_Z20_01","b9",5.98141433473295e-05,0.0160317036955957,0.120046154359917
