"Name","Barrier","Kr","Kx","perimeter"
"P11_C_To_C01_Z20_01","b0",5.01661683002842e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b1",7.06169994571221e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b2",3.66562422297487e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b3",3.66562422297487e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b4",3.50217753332979e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b5",6.47888875696237e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b6",5.36296735703765e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b7",9.37745014415933e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b8",3.14816664220071e-05,0.0431174615212998,0.139280821558642
"P11_C_To_C01_Z20_01","b9",5.6337220908773e-05,0.0431174615212998,0.139280821558642
